競	竞	jìng	to compete/to contend/to struggle
公平競爭	公平竞争	gōng píng jìng zhēng	fair competition
市場競爭	市场竞争	shì chǎng jìng zhēng	market competition
標新競異	标新竞异	biāo xīn jìng yì	to start on sth new and different (idiom); to display originality
物競天擇	物竞天择	wù jìng tiān zé	natural selection
直接競爭	直接竞争	zhí jiē jìng zhēng	direct competitor/direct competition
不正當競爭	不正当竞争	bù zhèng dàng jìng zhēng	unfair competition/illicit competition
競價	竞价	jìng jià	price competition/bid (in an auction)/to compete on price/to bid against sb
競技	竞技	jìng jì	competition of skill (e.g. sports)/athletics tournament
競技動物	竞技动物	jìng jì dòng wù	animals used in blood sports
競技場	竞技场	jìng jì chǎng	arena
競技性	竞技性	jìng jì xìng	competitive
競業條款	竞业条款	jìng yè tiáo kuǎn	non-compete clause (law)
競渡	竞渡	jìng dù	rowing competition/boat race/swimming competition (e.g. to cross river or lake)
競爭	竞争	jìng zhēng	to compete/competition
競爭力	竞争力	jìng zhēng lì	competitive strength/competitiveness
競爭對手	竞争对手	jìng zhēng duì shǒu	rival/competitor
競爭性	竞争性	jìng zhēng xìng	competitive
競爭模式	竞争模式	jìng zhēng mó shì	competition model
競爭產品	竞争产品	jìng zhēng chǎn pǐn	competitive product/competitor's product
競爭者	竞争者	jìng zhēng zhě	competitor
競猜	竞猜	jìng cāi	to try to answer a question (in a quiz, guessing game, riddle etc)/quiz game
競相	竞相	jìng xiāng	competitive/eagerly/to vie
競秀	竞秀	jìng xiù	beauty contest/vying to be the most beautiful
競租	竞租	jìng zū	rent-seeking (economics)
競答	竞答	jìng dá	to compete to answer questions (in class)
競艷	竞艳	jìng yàn	vying to be the most glamorous/each more gorgeous than the other/beauty contest
競購	竞购	jìng gòu	to bid competitively/to compete to buy (at auction)
競賽	竞赛	jìng sài	race/competition/CL:個|个[gè]
競賽者	竞赛者	jìng sài zhě	player
競走	竞走	jìng zǒu	walking race (athletics event)
競逐	竞逐	jìng zhú	competition/to compete/to pursue
競速	竞速	jìng sù	(sports) to race/racing
競速滑冰	竞速滑冰	jìng sù huá bīng	speed skating (Tw)
競選	竞选	jìng xuǎn	to take part in an election/to run for office
競選副手	竞选副手	jìng xuǎn fù shǒu	election assistant/running mate
競選搭檔	竞选搭档	jìng xuǎn dā dàng	election partner/running mate
競選活動	竞选活动	jìng xuǎn huó dòng	(election) campaign
軍備競賽	军备竞赛	jūn bèi jìng sài	arms race/armament(s) race
電子競技	电子竞技	diàn zǐ jìng jì	video gaming (as a sport)/e-sports (abbr. to 電競|电竞[diàn jìng])
電競	电竞	diàn jìng	video gaming (as a sport)/e-sports (abbr. for 電子競技|电子竞技[diàn zǐ jìng jì])
