篋	箧	qiè	chest/box/trunk/suitcase/portfolio
書篋	书箧	shū qiè	bookcase
盈箱累篋	盈箱累箧	yíng xiāng lěi qiè	to fill boxes and baskets to the brim (with treasures)
筐篋	筐箧	kuāng qiè	rectangular box or chest
筐篋中物	筐箧中物	kuāng qiè zhōng wù	a commonplace thing
箱篋	箱箧	xiāng qiè	box/chest
傾箱倒篋	倾箱倒箧	qīng xiāng dǎo qiè	to exhaust all one has/to leave no stone unturned/to try one's best
篋笥	箧笥	qiè sì	bamboo box for holding books, clothes etc
篋篋	箧箧	qiè qiè	long and thin/slender
篋衍	箧衍	qiè yǎn	bamboo box
翻箱倒篋	翻箱倒箧	fān xiāng dǎo qiè	to overturn trunks and boxes/to make a thorough search (idiom)
胠篋	胠箧	qū qiè	to steal/to pilfer
胠篋者流	胠箧者流	qū qiè zhě liú	thieves/pilferers
藤篋	藤箧	téng qiè	wicker suitcase
行篋	行箧	xíng qiè	traveling suitcase
鼓篋	鼓箧	gǔ qiè	beginning-school ceremony (old usage)/classical learning
