篤	笃	dǔ	serious (illness)/sincere/true
本篤·十六世	本笃·十六世	Běn dǔ · shí liù shì	Pope Benedict XVI/Joseph Alois Ratzinger (1927-), pope 2005-2013
本篤會	本笃会	Běn dǔ huì	the Benedictines
杜篤瑪	杜笃玛	Dù dǔ mǎ	Dodoma, capital of Tanzania (Tw)
病篤	病笃	bìng dǔ	critically ill/on one's deathbed
危篤	危笃	wēi dǔ	deathly ill
篤信	笃信	dǔ xìn	to believe firmly/devout in one's faith
篤信好學	笃信好学	dǔ xìn hào xué	sincere belief and diligent study
篤厚	笃厚	dǔ hòu	honest and generous/magnanimous
篤學	笃学	dǔ xué	studious/diligent in study
篤守	笃守	dǔ shǒu	to comply faithfully/sincerely abiding by
篤定	笃定	dǔ dìng	certain/confident (of some outcome)/calm and unhurried
篤實	笃实	dǔ shí	loyal/sincere/sound
篤專	笃专	dǔ zhuān	with undivided attention
篤志	笃志	dǔ zhì	steadfast/with single-minded devotion
篤愛	笃爱	dǔ ài	to love deeply/devoted to sb
篤摯	笃挚	dǔ zhì	sincere (in friendship)/cordial
篤病	笃病	dǔ bìng	seriously ill/critical
篤行	笃行	dǔ xíng	to carry out (obligation) conscientiously/to behave sincerely
誠篤	诚笃	chéng dǔ	honest/sincere and serious
