籬	篱	lí	a fence
圍籬	围篱	wéi lí	fence/paling
寄人籬下	寄人篱下	jì rén lí xià	to lodge under another person's roof (idiom); to live relying on sb else's charity
柵籬	栅篱	zhà lí	hedge/fence
樹籬	树篱	shù lí	hedge
竹籬笆	竹篱笆	zhú lí bā	fence
笆籬子	笆篱子	bā lí zi	(dialect) prison
笊籬	笊篱	zhào li	strainer (made of bamboo, wicker, or wire)
傍人籬壁	傍人篱壁	bàng rén lí bì	to depend on others
籬垣	篱垣	lí yuán	fence/hedge
籬笆	篱笆	lí ba	fence (esp. of bamboo or wood railings)
羊觸藩籬	羊触藩篱	yáng chù fān lí	lit. billy goat's horns caught in the fence (idiom from Book of Changes 易經|易经); impossible to advance or to retreat/without any way out of a dilemma/trapped/in an impossible situation
草綠籬鶯	草绿篱莺	cǎo lǜ lí yīng	(bird species of China) eastern olivaceous warbler (Iduna pallida)
藩籬	藩篱	fān lí	hedge/fence/(fig.) barrier
賽氏籬鶯	赛氏篱莺	Sài shì lí yīng	(bird species of China) Sykes's warbler (Iduna rama)
針線箔籬	针线箔篱	zhēn xiàn bó lí	wicker sewing basket (dialect)
靴籬鶯	靴篱莺	xuē lí yīng	(bird species of China) booted warbler (Iduna caligata)
