簾	帘	lián	hanging screen or curtain
垂簾聽政	垂帘听政	chuí lián tīng zhèng	lit. to govern from behind the curtain/to rule in place of the emperor (idiom)
帳簾	帐帘	zhàng lián	drapery
捲簾	卷帘	juǎn lián	roller shutter/a blind
映入眼簾	映入眼帘	yìng rù yǎn lián	(idiom) to greet the eye/to come into view
水簾洞	水帘洞	shuǐ lián dòng	cave with a waterfall at its mouth
浴簾	浴帘	yù lián	shower curtain
眼簾	眼帘	yǎn lián	eyes (in literature)/eyesight
窗簾	窗帘	chuāng lián	window curtains
卷簾門	卷帘门	juǎn lián mén	roll-up door
簾子	帘子	lián zi	curtain
簾布	帘布	lián bù	cord fabric used in vehicle tires
簾幕	帘幕	lián mù	hanging screen/curtain over shop door (for privacy and serving as advertisement)
