粵	粤	Yuè	Cantonese/short name for Guangdong 廣東|广东[Guǎng dōng]
百粵	百粤	Bǎi Yuè	Baiyue, generic term for southern ethnic groups/also written 百越
粵劇	粤剧	Yuè jù	Cantonese opera
粵拼	粤拼	Yuè pīn	Jyutping, one of the many Cantonese romanization systems/abbr. of 粵語拼音|粤语拼音[Yuè yǔ Pīn yīn]
粵海	粤海	Yuè Hǎi	Guangdong-Hainan
粵港澳大灣區	粤港澳大湾区	Yuè Gǎng Ào Dà wān Qū	Guangdong-Hong Kong-Macao Greater Bay Area, established in 2017, consisting of Hong Kong, Macao and nine cities in Guangdong
粵漢鐵路	粤汉铁路	Yuè Hàn Tiě lù	Canton-Hankou Railway, linking Guangzhou and Wuchang, incorporated since 1957 into the Jing-Guang Railway 京廣鐵路|京广铁路[Jīng Guǎng Tiě lù]
粵繡	粤绣	Yuè xiù	Guangdong embroidery, one of the four major traditional styles of Chinese embroidery (the other three being 蘇繡|苏绣[Sū xiù], 湘繡|湘绣[Xiāng xiù] and 蜀繡|蜀绣[Shǔ xiù])
粵菜	粤菜	Yuè cài	Cantonese cuisine
粵語	粤语	Yuè yǔ	Cantonese language
粵語拼音	粤语拼音	Yuè yǔ Pīn yīn	Cantonese romanization/Jyutping, one of the many Cantonese romanization systems
閩粵	闽粤	Mǐn Yuè	Fujian and Guangdong
