純	纯	chún	pure/simple/unmixed/genuine
全純	全纯	quán chún	holomorphic (math.)
呂純陽	吕纯阳	Lǚ Chún yáng	see 呂洞賓|吕洞宾[Lǚ Dòng bīn]
單純	单纯	dān chún	simple/pure/unsophisticated/merely/purely
單純皰疹	单纯疱疹	dān chún pào zhěn	herpes simplex (med.)
單純皰疹病毒	单纯疱疹病毒	dān chún pào zhěn bìng dú	herpes simplex virus (HSV, med.)
單純詞	单纯词	dān chún cí	(linguistics) single-morpheme word/simple word
小泉純一郎	小泉纯一郎	Xiǎo quán Chún yī láng	KOIZUMI Jun'ichirō (1942-), Japanese LDP politician, prime minister 2001-2006
張純如	张纯如	Zhāng Chún rú	Iris Chang (1968-2004), Chinese American historian and author of the Rape of Nanjing
提純	提纯	tí chún	to purify
李純	李纯	Lǐ Chún	Li Chun, personal name of twelfth Tang emperor Xianzong 憲宗|宪宗[Xiàn zōng] (778-820), reigned 805-820
清純	清纯	qīng chún	fresh and pure
爐火純青	炉火纯青	lú huǒ chún qīng	lit. the stove fire has turned bright green (allusion to Daoist alchemy) (idiom)/fig. (of an art, a technique etc) brought to the point of perfection
亞純	亚纯	yà chún	meromorphic (math.)
純利	纯利	chún lì	net profit
純利益	纯利益	chún lì yì	net profit
純品	纯品	chún pǐn	sterling
純屬	纯属	chún shǔ	to be purely/pure and simple/sheer/outright
純度	纯度	chún dù	purity
純情	纯情	chún qíng	pure and innocent/a pure heart
純文字	纯文字	chún wén zì	text only (webpage)
純文字頁	纯文字页	chún wén zì yè	text-only webpage
純棉	纯棉	chún mián	pure cotton/100% cotton
純樸	纯朴	chún pǔ	variant of 淳樸|淳朴[chún pǔ]
純正	纯正	chún zhèng	pure/unadulterated/(of motives etc) honest
純淨	纯净	chún jìng	pure/clean/unmixed
純潔	纯洁	chún jié	pure/clean and honest/to purify
純熟	纯熟	chún shú	skillful/proficient
純牛奶	纯牛奶	chún niú nǎi	pure milk
純白	纯白	chún bái	pure white
純真	纯真	chún zhēn	innocent and unaffected/pure and unadulterated
純真天然	纯真天然	chún zhēn tiān rán	natural/authentic
純真無垢	纯真无垢	chún zhēn wú gòu	pure of heart
純種	纯种	chún zhǒng	purebred
純粹	纯粹	chún cuì	pure/unadulterated/purely/completely
純粹數學	纯粹数学	chún cuì shù xué	pure mathematics
純素	纯素	chún sù	plain/ordinary/vegetarian
純素顏	纯素颜	chún sù yán	see 素顏|素颜[sù yán]
純素食	纯素食	chún sù shí	vegan/vegan food
純素食主義	纯素食主义	chún sù shí zhǔ yì	veganism, a diet consisting solely of plant products/strict vegetarianism
純素食者	纯素食者	chún sù shí zhě	a vegan/person following a vegan diet
純色啄花鳥	纯色啄花鸟	chún sè zhuó huā niǎo	(bird species of China) plain flowerpecker (Dicaeum minullum)
純色噪鶥	纯色噪鹛	chún sè zào méi	(bird species of China) scaly laughingthrush (Trochalopteron subunicolor)
純色岩燕	纯色岩燕	chún sè yán yàn	(bird species of China) dusky crag martin (Ptyonoprogne concolor)
純藍仙鶲	纯蓝仙鹟	chún lán xiān wēng	(bird species of China) pale blue flycatcher (Cyornis unicolor)
純褐鸌	纯褐鹱	chún hè hù	(bird species of China) Bulwer's petrel (Bulweria bulwerii)
純金	纯金	chún jīn	pure gold
純音	纯音	chún yīn	pure tone
純鹼	纯碱	chún jiǎn	sodium carbonate Na2CO3/soda ash/same as 碳酸鈉|碳酸钠
香純	香纯	xiāng chún	variant of 香醇[xiāng chún]
