紛	纷	fēn	numerous/confused/disorderly
五彩賓紛	五彩宾纷	wǔ cǎi bīn fēn	colorful
五色繽紛	五色缤纷	wǔ sè bīn fēn	all the colors in profusion (idiom); a garish display
戰火紛飛	战火纷飞	zhàn huǒ fēn fēi	fire of war everywhere (idiom); enveloped in the flames of war
排難解紛	排难解纷	pái nàn jiě fēn	to remove perils and solve disputes (idiom); to reconcile differences
權力紛爭	权力纷争	quán lì fēn zhēng	power struggle
烽煙四起，戰火紛飛	烽烟四起，战火纷飞	fēng yān sì qǐ , zhàn huǒ fēn fēi	lit. fire beacons in all four directions (idiom); the confusion of war
眾說紛揉	众说纷揉	zhòng shuō fēn róu	lit. diverse opinions confused and divided (idiom); opinions differ/controversial matters
眾說紛紜	众说纷纭	zhòng shuō fēn yún	opinions differ (idiom)
糾紛	纠纷	jiū fēn	dispute
五彩繽紛	五彩缤纷	wǔ cǎi bīn fēn	all the colors in profusion (idiom); a garish display
紛亂	纷乱	fēn luàn	numerous and disorderly
紛呈	纷呈	fēn chéng	brilliant and varied/(often in the combination 精彩纷呈)
紛披	纷披	fēn pī	scattered/mixed and disorganized
紛擾	纷扰	fēn rǎo	turmoil/unrest/disturbance
紛爭	纷争	fēn zhēng	to dispute
紛紛	纷纷	fēn fēn	one after another/in succession/one by one/continuously/diverse/in profusion/numerous and confused/pell-mell
紛紛揚揚	纷纷扬扬	fēn fēn yáng yáng	fluttering about (of leaves etc)
紛紜	纷纭	fēn yún	diverse and muddled/many and confused
紛繁	纷繁	fēn fán	numerous and complicated
紛至沓來	纷至沓来	fēn zhì tà lái	to come thick and fast (idiom)
紛雜	纷杂	fēn zá	numerous and confused/in a mess
紛飛	纷飞	fēn fēi	to swirl in the air (of thickly falling snowflakes, flower petals etc)/to flutter about
繽紛	缤纷	bīn fēn	vast and various/rich and diverse
聚訟紛紜	聚讼纷纭	jù sòng fēn yún	(of a body of people) to offer all kinds of different opinions (idiom)/to argue endlessly
色彩繽紛	色彩缤纷	sè cǎi bīn fēn	see 五彩繽紛|五彩缤纷[wǔ cǎi bīn fēn]
解紛	解纷	jiě fēn	to mediate a dispute
議論紛紛	议论纷纷	yì lùn fēn fēn	to discuss spiritedly (idiom)/tongues are wagging
議論紛錯	议论纷错	yì lùn fēn cuò	see 議論紛紛|议论纷纷[yì lùn fēn fēn]
