絨	绒	róng	velvet/woolen
小絨鴨	小绒鸭	xiǎo róng yā	(bird species of China) Steller's eider (Polysticta stelleri)
山羊絨	山羊绒	shān yáng róng	cashmere
毛絨玩具	毛绒玩具	máo róng wán jù	plush toy/cuddly toy
毛絨絨	毛绒绒	máo róng róng	fluffy/furry
法蘭絨	法兰绒	fǎ lán róng	flannel (loanword)/Taiwan pr. [fà lán róng]
火絨草	火绒草	huǒ róng cǎo	edelweiss (Leontopodium alpinum)
燈芯絨	灯芯绒	dēng xīn róng	corduroy (textiles)
燈草絨	灯草绒	dēng cǎo róng	see 燈芯絨|灯芯绒[dēng xīn róng]
立絨	立绒	lì róng	velvet
天鵝絨	天鹅绒	tiān é róng	velvet/swan's down
絨布	绒布	róng bù	flannel
絨毛	绒毛	róng máo	fur/down (soft fur)/villi capillary (in the small intestine)
絨毛性腺激素	绒毛性腺激素	róng máo xìng xiàn jī sù	human chorionic gonadotropin (HCG)
絨球	绒球	róng qiú	pompon
絨線	绒线	róng xiàn	wool/woolen thread
絨螯蟹	绒螯蟹	róng áo xiè	mitten crab (Eriocheir sinensis)
絨額鳾	绒额䴓	róng é shī	(bird species of China) velvet-fronted nuthatch (Sitta frontalis)
絲絨	丝绒	sī róng	velvet
羽絨	羽绒	yǔ róng	down (soft feathers)
羽絨服	羽绒服	yǔ róng fú	down-filled garment
艾絨	艾绒	ài róng	moxa floss
貉絨	貉绒	háo róng	precious fur obtained from skin of raccoon dog after removing hard bristle
鵝絨	鹅绒	é róng	goose down
