統	统	tǒng	to gather/to unite/to unify/whole
下寒武統	下寒武统	xià hán wǔ tǒng	lower Cambrian series (geological strata from approx 530 million years ago)
不合體統	不合体统	bù hé tǐ tǒng	not according with decorum/scandalous/bad form/unacceptable behavior
不成體統	不成体统	bù chéng tǐ tǒng	not according with decorum (idiom); scandalous/bad form/unacceptable behavior
中日韓統一表意文字	中日韩统一表意文字	Zhōng Rì Hán tǒng yī biǎo yì wén zì	China Japan Korea (CJK) unified ideographs/Unihan
中樞神經系統	中枢神经系统	zhōng shū shén jīng xì tǒng	central nervous system, CNS
人口統計學	人口统计学	rén kǒu tǒng jì xué	population studies/population statistics
作業系統	作业系统	zuò yè xì tǒng	operating system (Tw)
供油系統	供油系统	gōng yóu xì tǒng	fuel supply system/lubricating system
保險解開系統	保险解开系统	bǎo xiǎn jiě kāi xì tǒng	arming system
信息系統	信息系统	xìn xī xì tǒng	information system
傳動系統	传动系统	chuán dòng xì tǒng	transmission system/power drive
傳統	传统	chuán tǒng	tradition/traditional/convention/conventional/CL:個|个[gè]
傳統中國醫藥	传统中国医药	chuán tǒng zhōng guó yī yào	Chinese traditional medicine
傳統詞類	传统词类	chuán tǒng cí lèi	traditional parts of speech (grammar)
傳統醫藥	传统医药	chuán tǒng yī yào	Chinese traditional medicine
免疫系統	免疫系统	miǎn yì xì tǒng	immune system
內容管理系統	内容管理系统	nèi róng guǎn lǐ xì tǒng	content management system (CMS) (Internet)
全新統	全新统	quán xīn tǒng	holocene system (geological strata laid down during the last 12000 years)
全球位置測定系統	全球位置测定系统	quán qiú wèi zhì cè dìng xì tǒng	GPS (Global Positioning System)
全球定位系統	全球定位系统	quán qiú dìng wèi xì tǒng	global positioning system (GPS)
全球衛星導航系統	全球卫星导航系统	quán qiú wèi xīng dǎo háng xì tǒng	Globalnaya Navigatsionaya Satelinaya Sistema or Global Navigation Satellite System (GLONASS), the Russian equivalent of GPS/abbr. to 格洛納斯|格洛纳斯
分系統	分系统	fēn xì tǒng	subsystem
前總統	前总统	qián zǒng tǒng	former president
副總統	副总统	fù zǒng tǒng	vice-president
動力系統	动力系统	dòng lì xì tǒng	mechanical system
北斗衛星導航系統	北斗卫星导航系统	Běi Dǒu Wèi xīng Dǎo háng Xì tǒng	BeiDou Navigation Satellite System (BDS) (similar to GPS)
反導系統	反导系统	fǎn dǎo xì tǒng	anti-missile system/missile defense system
古新統	古新统	gǔ xīn tǒng	Palaeocene system (geology)
呼吸系統	呼吸系统	hū xī xì tǒng	respiratory system
命名系統	命名系统	mìng míng xì tǒng	system of nomenclature
和平統一	和平统一	hé píng tǒng yī	peaceful reunification
嚴重急性呼吸系統綜合症	严重急性呼吸系统综合症	yán zhòng jí xìng hū xī xì tǒng zōng hé zhèng	severe acute respiratory syndrome (SARS)
國家統計局	国家统计局	Guó jiā Tǒng jì jú	(China) National Bureau of Statistics (NBS)
多粒子系統	多粒子系统	duō lì zǐ xì tǒng	many particle systems (physics)
大一統	大一统	dà yī tǒng	unification (of the nation)/large scale unification
大一統誌	大一统志	Dà yī tǒng zhì	Da Yuan Dayitongzhi, Yuan dynasty geographical encyclopedia, compiled 1285-1294 under Jamal al-Din 紮馬剌丁|扎马剌丁 and Yu Yinglong 虞應龍|虞应龙, 755 scrolls
大元大一統誌	大元大一统志	Dà Yuán Dà yī tǒng zhì	Da Yuan Dayitongzhi, Yuan dynasty geographical encyclopedia, compiled 1285-1294 under Jamal al-Din 紮馬剌丁|扎马剌丁 and Yu Yinglong 虞應龍|虞应龙, 755 scrolls
