縣	县	xiàn	county
三原縣	三原县	Sān yuán Xiàn	Sanyuan County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
三台縣	三台县	Sān tái xiàn	Santai county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
三水縣	三水县	Sān shuǐ xiàn	Sanshui county in Guangdong
三江侗族自治縣	三江侗族自治县	Sān jiāng dòng zú Zì zhì xiàn	Sanjiang Dong autonomous county in Liuzhou 柳州[Liǔ zhōu], Guangxi
三河縣	三河县	Sān hé xiàn	Sanhe county in Beijing
三穗縣	三穗县	Sān suì xiàn	Sansui county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
三都水族自治縣	三都水族自治县	Sān dū shuǐ zú Zì zhì xiàn	Sandu Shuizu autonomous county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
三都縣	三都县	Sān dū xiàn	Sandu Shuizu autonomous county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
三重縣	三重县	Sān chóng xiàn	Mi'e prefecture in central Japan
三門縣	三门县	Sān mén xiàn	Sanmen county in Taizhou 台州[Tāi zhōu], Zhejiang
上思縣	上思县	Shàng sī xiàn	Shangxi county in Fangchenggang 防城港[Fáng chéng gǎng], Guangxi
上杭縣	上杭县	Shàng háng xiàn	Shanghang county in Longyan 龍岩|龙岩, Fujian
上林縣	上林县	Shàng lín xiàn	Shanglin county in Nanning 南寧|南宁[Nán níng], Guangxi
上栗縣	上栗县	Shàng lì xiàn	Shangli county in Pingxiang 萍鄉|萍乡, Jiangxi
上猶縣	上犹县	Shàng yóu xiàn	Shangyou county in Ganzhou 贛州|赣州, Jiangxi
上蔡縣	上蔡县	Shàng cài xiàn	Shangcai county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
上饒縣	上饶县	Shàng ráo xiàn	Shangrao county in Shangrao 上饒|上饶, Jiangxi
上高縣	上高县	Shàng gāo xiàn	Shanggao county in Yichun 宜春, Jiangxi
且末縣	且末县	Qiě mò xiàn	Cherchen nahiyisi or Qiemo county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
丘北縣	丘北县	Qiū běi xiàn	Qiubei county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
丘縣	丘县	Qiū xiàn	Qiu county in Hebei
中寧縣	中宁县	Zhōng níng xiàn	Zhongning county in Zhongwei 中衛|中卫[Zhōng wèi], Ningxia
中方縣	中方县	Zhōng fāng xiàn	Zhongfang county in Huaihua 懷化|怀化[Huái huà], Hunan
中江縣	中江县	Zhōng jiāng xiàn	Zhongjiang county in Deyang 德陽|德阳[Dé yáng], Sichuan
中牟縣	中牟县	Zhōng móu xiàn	Zhongmou county in Zhengzhou 鄭州|郑州[Zhèng zhōu], Henan
中甸縣	中甸县	Zhōng diàn xiàn	Gyeltang or Gyalthang town and county, former name of Shangri-La county 香格里拉縣|香格里拉县[Xiāng gé lǐ lā xiàn] in Dêqên or Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州[Dí qìng Zàng zú zì zhì zhōu], northwest Yunnan
中陽縣	中阳县	Zhōng yáng xiàn	Zhangyang county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
丹寨縣	丹寨县	Dān zhài xiàn	Danzhai county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
丹巴縣	丹巴县	Dān bā xiàn	Danba county (Tibetan: rong brag rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
丹稜縣	丹棱县	Dān léng Xiàn	Danleng County in Meishan 眉山市[Méi shān Shì], Sichuan
丹鳳縣	丹凤县	Dān fèng Xiàn	Danfeng County in Shangluo 商洛[Shāng luò], Shaanxi
乃東縣	乃东县	Nǎi dōng xiàn	Nêdong county, Tibetan: Sne gdong rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
久治縣	久治县	Jiǔ zhì xiàn	Jigzhi or Jiuzhi county (Tibetan: gcig sgril rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai (formerly in Sichuan)
九寨溝縣	九寨沟县	Jiǔ zhài gōu xiàn	Jiuzhaigou county, Sichuan
九江縣	九江县	Jiǔ jiāng xiàn	Jiujiang county in Jiujiang 九江, Jiangxi
九龍縣	九龙县	Jiǔ lóng xiàn	Jiulong county (Tibetan: brgyad zur rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
乳源瑤族自治縣	乳源瑶族自治县	Rǔ yuán Yáo zú Zì zhì xiàn	Ruyuan Yao Autonomous County in Shaoguan 韶關|韶关[Sháo guān], Guangdong
乳源縣	乳源县	Rǔ yuán Xiàn	Ruyuan Yao Autonomous County in Shaoguan 韶關|韶关[Sháo guān], Guangdong
乾安縣	乾安县	Qián ān xiàn	Qian'an county in Songyuan 松原, Jilin
乾縣	乾县	Qián Xiàn	Qian County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
互助土族自治縣	互助土族自治县	Hù zhù Tǔ zú Zì zhì xiàn	Huzhu Tuzu Autonomous County in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
互助縣	互助县	Hù zhù xiàn	Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
五原縣	五原县	Wǔ yuán xiàn	Wuyuan county in Bayan Nur 巴彥淖爾|巴彦淖尔[Bā yàn nào ěr], Inner Mongolia
五寨縣	五寨县	Wǔ zhài xiàn	Wuzhai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五峰土家族自治縣	五峰土家族自治县	Wǔ fēng Tǔ jiā zú Zì zhì xiàn	Wufeng Tujia Autonomous County in Hubei
五峰縣	五峰县	Wǔ fēng Xiàn	abbr. for 五峰土家族自治縣|五峰土家族自治县[Wǔ fēng Tǔ jiā zú Zì zhì xiàn], Wufeng Tujia Autonomous County in Hubei
五河縣	五河县	Wǔ hé xiàn	Wuhe county in Bengbu 蚌埠[Bèng bù], Anhui
五臺縣	五台县	Wǔ tái xiàn	Wutai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五華縣	五华县	Wǔ huá xiàn	Wuhua county in Meizhou 梅州, Guangdong
五蓮縣	五莲县	Wǔ lián xiàn	Wulian county in Rizhao 日照[Rì zhào], Shandong
井研縣	井研县	Jǐng yán xiàn	Jingwan county in Leshan 樂山|乐山[Lè shān], Sichuan
井陘縣	井陉县	Jǐng xíng xiàn	Jingxing county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
亞東縣	亚东县	Yà dōng xiàn	Yadong county, Tibetan: Gro mo rdzong, in Shigatse prefecture, Tibet
交口縣	交口县	Jiāo kǒu xiàn	Jiaokou county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
交城縣	交城县	Jiāo chéng xiàn	Jiaocheng county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
