織	织	zhī	to weave/to knit
上海合作組織	上海合作组织	Shàng hǎi Hé zuò Zǔ zhī	Shanghai Cooperation Organisation (SCO)
世界旅遊組織	世界旅游组织	Shì jiè Lǚ yóu Zǔ zhī	World Tourism Organization (UNWTO)
世界氣象組織	世界气象组织	Shì jiè Qì xiàng Zǔ zhī	World Meteorological Organization (WMO)
世界海關組織	世界海关组织	Shì jiè Hǎi guān Zǔ zhī	World Customs Organization
世界知識產權組織	世界知识产权组织	Shì jiè Zhī shí Chǎn quán Zǔ zhī	World Intellectual Property Organization
世界衛生組織	世界卫生组织	Shì jiè Wèi shēng Zǔ zhī	World Health Organization (WHO)
世界貿易組織	世界贸易组织	Shì jiè Mào yì Zǔ zhī	World Trade Organization (WTO)
世衛組織	世卫组织	Shì wèi Zǔ zhī	World Health Organization (WHO)/abbr. for 世界衛生組織|世界卫生组织[Shì jiè Wèi shēng Zǔ zhī]
世貿組織	世贸组织	Shì mào Zǔ zhī	WTO (World Trade Organization)
中共中央組織部	中共中央组织部	Zhōng Gòng Zhōng yāng Zǔ zhī bù	Organization Department of the Communist Party of China Central Committee, which oversees appointments of Party members to official positions throughout China/abbr. to 中組部|中组部[Zhōng zǔ bù]
中國人權組織	中国人权组织	Zhōng guó Rén quán Zǔ zhī	Human Rights in China (New York-based expatriate PRC organization)
亞太經合組織	亚太经合组织	Yà Tài Jīng Hé Zǔ zhī	APEC (organization)
亞太經濟合作組織	亚太经济合作组织	Yà Tài Jīng jì Hé zuò Zǔ zhī	Asian-Pacific Economic Cooperation organization/APEC
交織	交织	jiāo zhī	to interweave
企業聯合組織	企业联合组织	qǐ yè lián hé zǔ zhī	syndicate (group of businesses)
伊斯蘭會議組織	伊斯兰会议组织	Yī sī lán Huì yì Zǔ zhī	Organization of the Islamic Conference
伊斯蘭聖戰組織	伊斯兰圣战组织	Yī sī lán Shèng zhàn Zǔ zhī	Islamic Jihad (Palestinian armed faction)
促織	促织	cù zhī	cricket (insect)
八大工業國組織	八大工业国组织	bā dà gōng yè guó zǔ zhī	G8 (group of eight major industrialized nations)
分生組織	分生组织	fēn shēng zǔ zhī	meristem
分裂組織	分裂组织	fēn liè zǔ zhī	separatist organization/meristem (botany)
北大西洋公約組織	北大西洋公约组织	Běi Dà xī Yáng Gōng yuē Zǔ zhī	North Atlantic Treaty Organization, NATO
國際刑事警察組織	国际刑事警察组织	Guó jì Xíng shì Jǐng chá Zǔ zhī	International Criminal Police Organization (Interpol)
國際刑警組織	国际刑警组织	Guó jì Xíng jǐng Zǔ zhī	Interpol (International Criminal Police Organization)
國際勞工組織	国际劳工组织	Guó jì Láo gōng Zǔ zhī	International Labor Organization
國際標準化組織	国际标准化组织	Guó jì Biāo zhǔn huà Zǔ zhī	International Organization for Standardization (ISO)
國際民航組織	国际民航组织	Guó jì Mín háng Zǔ zhī	International Civil Aviation Organization (ICAO)
國際民間組織	国际民间组织	guó jì mín jiān zǔ zhī	international humanitarian organization
國際海事組織	国际海事组织	Guó jì Hǎi shì Zǔ zhī	International Maritime Organization
國際特赦組織	国际特赦组织	Guó jì Tè shè Zǔ zhī	Amnesty International
國際貨幣基金組織	国际货币基金组织	Guó jì Huò bì Jī jīn Zǔ zhī	International Monetary Fund (IMF)
基地恐怖組織	基地恐怖组织	Jī dì Kǒng bù Zǔ zhī	Al-Qaeda/same as 基地組織|基地组织
基地組織	基地组织	Jī dì Zǔ zhī	Al-Qaeda
奧林匹克運動會組織委員會	奥林匹克运动会组织委员会	Ào lín pǐ kè Yùn dòng huì Zǔ zhī Wěi yuán huì	Olympic Organizing Committee/abbr. to 奧組委|奥组委
密織	密织	mì zhī	closely woven
導管組織	导管组织	dǎo guǎn zǔ zhī	vascular tissue
巴勒斯坦解放組織	巴勒斯坦解放组织	Bā lè sī tǎn Jiě fàng Zǔ zhī	Palestine Liberation Organization (PLO)
巴解組織	巴解组织	Bā jiě Zǔ zhī	Palestine Liberation Organization (PLO)/abbr. for 巴勒斯坦解放組織|巴勒斯坦解放组织[Bā lè sī tǎn Jiě fàng Zǔ zhī]
恐怖組織	恐怖组织	kǒng bù zǔ zhī	terrorist organization
愛恨交織	爱恨交织	ài hèn jiāo zhī	mixture of love and hate
慈善組織	慈善组织	cí shàn zǔ zhī	charity organization
抗組織胺	抗组织胺	kàng zǔ zhī àn	antihistamine
教科文組織	教科文组织	Jiào Kē Wén Zǔ zhī	UNESCO, United Nations Educational, Scientific and Cultural Organization
斜紋織	斜纹织	xié wén zhī	twill weave
東突厥斯坦解放組織	东突厥斯坦解放组织	Dōng Tū jué sī tǎn Jiě fàng Zǔ zhī	East Turkestan Liberation Organization (ETLO), Xinjiang dissident group
