繩	绳	shéng	rope/CL:根[gēn]
一朝被蛇咬，十年怕井繩	一朝被蛇咬，十年怕井绳	yī zhāo bèi shé yǎo , shí nián pà jǐng shéng	once bitten by a snake, ten years in fear of a well rope/once bitten, twice shy (idiom)
一根繩上的螞蚱	一根绳上的蚂蚱	yī gēn shéng shàng de mà zha	see 一條繩上的螞蚱|一条绳上的蚂蚱[yī tiáo shéng shàng de mà zha]
一條繩上的螞蚱	一条绳上的蚂蚱	yī tiáo shéng shàng de mà zha	lit. grasshoppers tied together with a piece of string (idiom)/fig. people who are in it together for better or worse/people who will sink or swim together
吊繩	吊绳	diào shéng	sling
套繩	套绳	tào shéng	a lasso
擰成一股繩	拧成一股绳	níng chéng yī gǔ shéng	to twist together to form a rope/(fig.) to unite/to work together
晾衣繩	晾衣绳	liàng yī shéng	clothesline
曬衣繩	晒衣绳	shài yī shéng	clothesline
棕繩	棕绳	zōng shéng	rope of palm fiber/coir (coconut fiber)
沖繩	冲绳	Chōng shéng	Okinawa, Japan
沖繩島	冲绳岛	Chōng shéng Dǎo	Okinawa Island
沖繩縣	冲绳县	Chōng shéng xiàn	Okinawa prefecture, Japan
沖繩群島	冲绳群岛	Chōng shéng Qún dǎo	the Okinawa archipelago
準繩	准绳	zhǔn shéng	yardstick/fig. criterion/ground rule
牽繩	牵绳	qiān shéng	tow rope
細繩	细绳	xì shéng	string/twine/cord
線繩	线绳	xiàn shéng	string/cotton rope
一年被蛇咬十年怕井繩	一年被蛇咬十年怕井绳	yī nián bèi shé yǎo shí nián pà jǐng shéng	bitten by a snake in one year, fears the well rope for ten years (idiom); once bitten twice shy
繩之以法	绳之以法	shéng zhī yǐ fǎ	to punish according to the law/to bring to justice
繩墨	绳墨	shéng mò	lit. carpenter's straight line marker/same as 墨斗/fig. rules/rules and regulations
繩套	绳套	shéng tào	noose/harness
繩子	绳子	shéng zi	cord/string/rope/CL:條|条[tiáo]
繩文	绳文	shéng wén	Jyōmon period of Japanese prehistory, with rope pattern pottery
繩梯	绳梯	shéng tī	a rope ladder
繩索	绳索	shéng suǒ	rope
繩索套	绳索套	shéng suǒ tào	a noose
繩結	绳结	shéng jié	knot
纜繩	缆绳	lǎn shéng	cable/hawser/mooring rope
膕繩肌	腘绳肌	guó shéng jī	hamstring (anatomy)
規矩準繩	规矩准绳	guī ju zhǔn shéng	compasses, set square, spirit level and plumbline (idiom); fig. established standard/norms/criteria
規矩繩墨	规矩绳墨	guī ju shéng mò	compasses, set square and straight line marker (idiom); fig. established standard/norms/criteria
走繩	走绳	zǒu shéng	tightrope walking
跳繩	跳绳	tiào shéng	to jump rope/jump rope
進退中繩	进退中绳	jìn tuì zhōng shéng	to advance or retreat, each has its rules (idiom from Zhuangzi); many translations are possible
鋼絲繩	钢丝绳	gāng sī shéng	hawser/steel rope
韁繩	缰绳	jiāng shéng	reins
頭繩	头绳	tóu shéng	string to tie hair
