繪	绘	huì	to draw/to paint
描繪	描绘	miáo huì	to describe/to portray
架上繪畫	架上绘画	jià shàng huì huà	easel painting
標繪	标绘	biāo huì	to plot (on a chart)/to mark
浮世繪	浮世绘	fú shì huì	ukiyo-e
測繪	测绘	cè huì	to survey and draw/to map
彩繪	彩绘	cǎi huì	painted/colored painted-on designs
繪圖	绘图	huì tú	to draw/to draft/drawing/drafting
繪本	绘本	huì běn	picture book
繪架座	绘架座	Huì jià zuò	Pictor (constellation)
繪畫	绘画	huì huà	drawing/painting
繪聲繪色	绘声绘色	huì shēng huì sè	vivid and colorful (idiom); true to life/lively and realistic
繪製	绘制	huì zhì	to draw/to draft
電腦繪圖	电脑绘图	diàn nǎo huì tú	computer graphics
電腦輔助設計與繪圖	电脑辅助设计与绘图	diàn nǎo fǔ zhù shè jì yǔ huì tú	computer-aided design and drawing
