續	续	xù	to continue/to replenish
不連續面	不连续面	bù lián xù miàn	surface of discontinuity
可持續	可持续	kě chí xù	sustainable
可持續發展	可持续发展	kě chí xù fā zhǎn	sustainable development
存續	存续	cún xù	to continue to exist
延續	延续	yán xù	to continue/to go on/to last
待續	待续	dài xù	to be continued
後續	后续	hòu xù	follow-up/(dialect) to remarry
手續	手续	shǒu xù	procedure/CL:道[dào],個|个[gè]/formalities
手續費	手续费	shǒu xù fèi	service charge/processing fee/commission
持續	持续	chí xù	to continue/to persist/sustainable/preservation
持續性植物人狀態	持续性植物人状态	chí xù xìng zhí wù rén zhuàng tài	persistent vegetative state
持續性植物狀態	持续性植物状态	chí xù xìng zhí wù zhuàng tài	persistent vegetative state (medicine)
持續時間	持续时间	chí xù shí jiān	duration
接續	接续	jiē xù	to follow/to continue
斷斷續續	断断续续	duàn duàn xù xù	intermittent/off and on/discontinuous/stop-go/stammering/disjointed/inarticulate
斷續	断续	duàn xù	intermittent
時斷時續	时断时续	shí duàn shí xù	stopping and starting/intermittent/sporadic/on and off
永續	永续	yǒng xù	sustainable/perpetual
狗尾續貂	狗尾续貂	gǒu wěi xù diāo	lit. to use a dog's tail as a substitute for sable fur (idiom)/fig. a worthless sequel to a masterpiece
登機手續	登机手续	dēng jī shǒu xù	(airport) check-in/boarding formalities
登機手續櫃檯	登机手续柜台	dēng jī shǒu xù guì tái	check-in counter
絕對連續	绝对连续	jué duì lián xù	absolutely continuous (math.)
繼續	继续	jì xù	to continue/to proceed with/to go on with
不連續	不连续	bù lián xù	discontinuous/discrete
續作	续作	xù zuò	sequel
續保	续保	xù bǎo	renewal of insurance
續借	续借	xù jiè	extended borrowing (e.g. library renewal)
續假	续假	xù jià	extended leave/prolonged absence
續增	续增	xù zēng	addition/appendix/addendum
續娶	续娶	xù qǔ	to remarry
續弦	续弦	xù xián	to remarry (of a widow)/second wife/qin and se 琴瑟[qín sè], two string instruments as a symbol of marital harmony
續書	续书	xù shū	sequel/continuation of a book
續杯	续杯	xù bēi	to refill (a beverage cup)
續發感染	续发感染	xù fā gǎn rǎn	secondary infection
續篇	续篇	xù piān	sequel/continuation (of a story)
續簽	续签	xù qiān	to renew a contract/contract extension
續約	续约	xù yuē	to renew or extend a contract
續編	续编	xù biān	sequel/continuation (of a serial publication)
續續	续续	xù xù	continuous/on and on/running
續航	续航	xù háng	endurance/long-term continuous travel or use
續西遊記	续西游记	Xù Xī yóu Jì	one of three Ming dynasty sequels to Journey to the West 西遊記|西游记
續訂	续订	xù dìng	to renew
續跌	续跌	xù diē	to continue to fall (of share prices)
續隨子	续随子	xù suí zi	caper (Capparis spinosa)
續集	续集	xù jí	sequel/next episode (of TV series etc)
莫霍洛維奇不連續面	莫霍洛维奇不连续面	Mò huò luò wéi qí bù lián xù miàn	Moho (aka Mohorovičić discontinuity, the lower boundary of the earth's lithosphere)/abbr. to 莫霍面[Mò huò miàn]
連續	连续	lián xù	continuous/in a row/serial/consecutive
連續不斷	连续不断	lián xù bù duàn	continuous/unceasing
連續介質力學	连续介质力学	lián xù jiè zhì lì xué	mechanics of a continuous medium/fluid mechanics
連續函數	连续函数	lián xù hán shù	continuous function
連續劇	连续剧	lián xù jù	serialized drama/dramatic series/show in parts
連續性	连续性	lián xù xìng	continuity
連續犯	连续犯	lián xù fàn	successive offenses/serial crime
連續監視	连续监视	lián xù jiān shì	continuous monitoring
連續統假設	连续统假设	lián xù tǒng jiǎ shè	(math.) the continuum hypothesis
連續譯碼階段	连续译码阶段	lián xù yì mǎ jiē duàn	sequential decoding stage
連續變調	连续变调	lián xù biàn diào	tone sandhi
連續集	连续集	lián xù jí	TV series
連續體	连续体	lián xù tǐ	continuum
陸續	陆续	lù xù	in turn/successively/one after the other/bit by bit
陸陸續續	陆陆续续	lù lù xù xù	in succession/one after another/continuously
