紗	纱	shā	cotton yarn/muslin
併紗	并纱	bìng shā	doubling (combining two or more lengths of yarn into a single thread)
婚紗	婚纱	hūn shā	wedding dress/CL:身[shēn]
婚紗攝影	婚纱摄影	hūn shā shè yǐng	wedding photos (done in studio, kit and caboodle taken care of by the studio)
棉紗	棉纱	mián shā	cotton yarn
泡泡紗	泡泡纱	pào pào shā	seersucker (cotton cloth with pattern of dimples)
浣紗	浣纱	huàn shā	to wash silk
浣紗記	浣纱记	Huàn shā jì	Huansahji or Washing the Silken Gauze, Yuan and Ming saga reworked by 梁辰魚|梁辰鱼 from History of the Southern States Wu and Yue, 吳越春秋|吴越春秋, a popular opera subject
烏紗帽	乌纱帽	wū shā mào	black hat (worn by feudal official)/fig. official post
管紗	管纱	guǎn shā	cop (textiles)
丟烏紗帽	丢乌纱帽	diū wū shā mào	lit. to lose one's black hat/to be sacked from an official post
紗布	纱布	shā bù	gauze
紗布口罩	纱布口罩	shā bù kǒu zhào	gauze mask
紗帽	纱帽	shā mào	gauze hat/(fig.) job as an official
紗廠	纱厂	shā chǎng	cotton mill/textile factory
紗窗	纱窗	shā chuāng	screen window
紗綻	纱绽	shā zhàn	spindle
紗線	纱线	shā xiàn	yarn
紗麗	纱丽	shā lì	sari (loanword)
紡紗	纺纱	fǎng shā	to spin (cotton, wool etc)/spinning
經紗	经纱	jīng shā	warp (vertical thread in weaving)
緯紗	纬纱	wěi shā	woof (horizontal thread in weaving)/weft
臂紗	臂纱	bì shā	armband
薄紗	薄纱	báo shā	gauze (cloth)
輕紗	轻纱	qīng shā	light muslin/gauze
透明硬紗	透明硬纱	tòu míng yìng shā	organza (fabric)
面紗	面纱	miàn shā	veil
頭紗	头纱	tóu shā	wedding veil/gauze headscarf or veil
麻紗	麻纱	má shā	linen or cotton fabric
黑紗	黑纱	hēi shā	black armband
