終	终	zhōng	end/finish
不可終日	不可终日	bù kě zhōng rì	to be unable to carry on even for a single day/to be in a desperate situation
不終天年	不终天年	bù zhōng tiān nián	to die before one's allotted lifespan has run its course (idiom)
以失敗而告終	以失败而告终	yǐ shī bài ér gào zhōng	to succeed through failure/to achieve one's final aim despite apparent setback
劇終	剧终	jù zhōng	The End (appearing at the end of a movie etc)
告終	告终	gào zhōng	to end/to reach an end
啞終端	哑终端	yǎ zhōng duān	dumb terminal
善始善終	善始善终	shàn shǐ shàn zhōng	where there's a start, there's a finish (idiom); to finish once one starts sth/to carry things through/I started, so I'll finish.
壽終	寿终	shòu zhōng	to die of old age/to live to a ripe old age/(fig.) (of sth) to come to an end (after a long period of service)
壽終正寢	寿终正寝	shòu zhōng zhèng qǐn	to die of old age/to die in one's bed at a ripe old age
始終	始终	shǐ zhōng	from beginning to end/all along
始終不渝	始终不渝	shǐ zhōng bù yú	unswerving/unflinching
始終如一	始终如一	shǐ zhōng rú yī	unswerving from start to finish (idiom)
守一而終	守一而终	shǒu yī ér zhōng	to be faithful to one's mate all one's life
帶著希望去旅行，比到達終點更美好	带着希望去旅行，比到达终点更美好	dài zhe xī wàng qù lǚ xíng , bǐ dào dá zhōng diǎn gèng měi hǎo	It is better to travel hopefully than to arrive.
年終	年终	nián zhōng	end of the year
年終獎	年终奖	nián zhōng jiǎng	year-end bonus
從一而終	从一而终	cóng yī ér zhōng	faithful unto death (i.e. Confucian ban on widow remarrying)
情定終身	情定终身	qíng dìng zhōng shēn	to pledge eternal love (idiom)/to exchange marriage vows
慎終追遠	慎终追远	shèn zhōng zhuī yuǎn	to pay careful attention to one's parents' funerary rites
憂苦以終	忧苦以终	yōu kǔ yǐ zhōng	worried to death (idiom)
曲終奏雅	曲终奏雅	qǔ zhōng zòu yǎ	perfect finish (idiom)
最終	最终	zuì zhōng	final/ultimate
最終幻想	最终幻想	Zuì zhōng Huàn xiǎng	Final Fantasy (video game)
有始有終	有始有终	yǒu shǐ yǒu zhōng	where there's a start, there's a finish (idiom); to finish once one starts sth/to carry things through/I started, so I'll finish.
有始無終	有始无终	yǒu shǐ wú zhōng	to start but not finish (idiom); to fail to carry things through/lack of sticking power/short attention span
有情人終成眷屬	有情人终成眷属	yǒu qíng rén zhōng chéng juàn shǔ	love will find a way (idiom)
期終	期终	qī zhōng	end of a fixed term
為德不終	为德不终	wéi dé bù zhōng	to start on virtue but give up (idiom); to fail to carry things through/lack of sticking power/short attention span
無疾而終	无疾而终	wú jí ér zhōng	to die peacefully/(fig.) to result in failure (without any outside interference)/to come to nothing/to fizzle out
牡丹雖好，終須綠葉扶持	牡丹虽好，终须绿叶扶持	mǔ dan suī hǎo , zhōng xū lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
私定終身	私定终身	sī dìng zhōng shēng	to make a pledge to be married, without parents' approval
一日為師，終身為父	一日为师，终身为父	yī rì wéi shī , zhōng shēn wéi fù	lit. teacher for one day, father for ever (idiom)
終久	终久	zhōng jiǔ	in the end/eventually
終了	终了	zhōng liǎo	to end
終傅	终傅	zhōng Fù	last rites (Christian ceremony)
終南	终南	Zhōng nán	Zhongnan mountains, near Xi'an
終南山	终南山	Zhōng nán Shān	Zhongnan Mountains, near Xi'an/also known as the Taiyi Mountains
終南捷徑	终南捷径	zhōng nán jié jìng	lit. Mt Zhongnan is a shortcut to a ministerial job (idiom); fig. to take a shortcut to promotion
終場	终场	zhōng chǎng	end (of a performance or sports match)/last round of testing in the imperial examinations
終場鑼聲	终场锣声	zhōng chǎng luó shēng	the final bell (esp. in sports competition)
終天	终天	zhōng tiān	all day long/all one's life
終天之恨	终天之恨	zhōng tiān zhī hèn	eternal regret
終審	终审	zhōng shěn	final ruling
終審法院	终审法院	zhōng shěn fǎ yuàn	Court of Final Appeal
終局	终局	zhōng jú	endgame/conclusion/outcome/final part of a chess game
終年	终年	zhōng nián	entire year/throughout the year/age at death
終年積雪	终年积雪	zhōng nián jī xuě	permanent snow cover
終成泡影	终成泡影	zhōng chéng pào yǐng	to come to nothing (idiom)
終成眷屬	终成眷属	zhōng chéng juàn shǔ	see 有情人終成眷屬|有情人终成眷属[yǒu qíng rén zhōng chéng juàn shǔ]
終戰	终战	zhōng zhàn	end of the war
終於	终于	zhōng yú	at last/in the end/finally/eventually
終日	终日	zhōng rì	all day long
終期	终期	zhōng qī	terminal/final
終期癌	终期癌	zhōng qī ái	terminal cancer
終極	终极	zhōng jí	ultimate/final
終止	终止	zhōng zhǐ	to stop/to terminate (law)
終生	终生	zhōng shēng	throughout one's life/lifetime/lifelong
終生伴侶	终生伴侣	zhōng shēng bàn lǚ	lifelong partner or companion
終產物	终产物	zhōng chǎn wù	end product
終究	终究	zhōng jiū	in the end/after all is said and done
終端	终端	zhōng duān	end/terminal
終端機	终端机	zhōng duān jī	terminal
終端用戶	终端用户	zhōng duān yòng hù	end user
終結	终结	zhōng jié	end/conclusion/to come to an end/to terminate (sth)
終老	终老	zhōng lǎo	to spend one's last years
終而復始	终而复始	zhōng ér fù shǐ	lit. the end comes back to the start (idiom); the wheel comes full circle
終聲	终声	zhōng shēng	final (i.e. final consonant or stop of some syllables in Asian phonetics)
終身	终身	zhōng shēn	lifelong/all one's life/marriage
終身俸	终身俸	zhōng shēn fèng	(Tw) retirement pay/pension
終身大事	终身大事	zhōng shēn dà shì	major turning point of lifelong import (esp. marriage)
終身監禁	终身监禁	zhōng shēn jiān jìn	life sentence
終點	终点	zhōng diǎn	the end/end point/finishing line (in a race)/destination/terminus/CL:個|个[gè]
終點地址	终点地址	zhōng diǎn dì zhǐ	destination address
終點站	终点站	zhōng diǎn zhàn	terminus/final stop on rail or bus line
終點線	终点线	zhōng diǎn xiàn	finishing line
臨終	临终	lín zhōng	approaching one's end/with one foot in the grave
臨終關懷	临终关怀	lín zhōng guān huái	palliative care
自始至終	自始至终	zì shǐ zhì zhōng	from start to finish (idiom)
至始至終	至始至终	zhì shǐ zhì zhōng	from start to finish
貫徹始終	贯彻始终	guàn chè shǐ zhōng	to follow through/to carry through to the end
路上比終點更有意義	路上比终点更有意义	lù shang bǐ zhōng diǎn gèng yǒu yì yì	The road means more than the destination./It is better to travel hopefully than to arrive.
送終	送终	sòng zhōng	to pay one's last respects
過程比終點更美	过程比终点更美	guò chéng bǐ zhōng diǎn gèng měi	The process is more beautiful than the outcome./It is better to travel hopefully than to arrive.
遐終	遐终	xiá zhōng	forever
靡不有初，鮮克有終	靡不有初，鲜克有终	mǐ bù yǒu chū , xiǎn kè yǒu zhōng	almost everything has a start, but not many things have an end (idiom); don't start sth you can't handle
飽食終日	饱食终日	bǎo shí zhōng rì	to spend the whole day eating (i.e. not doing any work)
飽食終日，無所用心	饱食终日，无所用心	bǎo shí zhōng rì , wú suǒ yòng xīn	to eat three square meals a day and do no work (idiom)/to be sated with food and remain idle
養老送終	养老送终	yǎng lǎo sòng zhōng	to look after one's aged parents and arrange proper burial after they die
