綏	绥	suí	to pacify/Taiwan pr. [suī]
扶綏縣	扶绥县	Fú suí xiàn	Fusui county in Chongzuo 崇左[Chóng zuǒ], Guangxi
撫綏	抚绥	fǔ suí	to appease/to pacify
時綏	时绥	shí suí	peace all year round (old letter closing)
歸綏	归绥	Guī suí	old name for Hohhot city 呼和浩特[Hū hé hào tè], Inner Mongolia
扶綏	扶绥	Fú suí	Fusui county in Chongzuo 崇左[Chóng zuǒ], Guangxi
綏中	绥中	Suí zhōng	Suizhong county in Huludao 葫蘆島|葫芦岛, Liaoning
綏中縣	绥中县	Suí zhōng xiàn	Suizhong county in Huludao 葫蘆島|葫芦岛, Liaoning
綏化	绥化	Suí huà	Suihua prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
綏化地區	绥化地区	Suí huà dì qū	Suihua prefecture, Heilongjiang
綏化市	绥化市	Suí huà Shì	Suihua prefecture level city in Heilongjiang Province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
綏寧	绥宁	Suí níng	Suining county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
綏寧縣	绥宁县	Suí níng xiàn	Suining county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
綏德	绥德	Suí dé	Suide County in Yulin 榆林[Yú lín], Shaanxi
綏德縣	绥德县	Suí dé Xiàn	Suide County in Yulin 榆林[Yú lín], Shaanxi
綏江	绥江	Suí jiāng	Suijiang county in Zhaotong 昭通[Zhāo tōng], Yunnan
綏江縣	绥江县	Suí jiāng xiàn	Suijiang county in Zhaotong 昭通[Zhāo tōng], Yunnan
綏濱	绥滨	Suí bīn	Suibin county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
綏濱縣	绥滨县	Suí bīn xiàn	Suibin county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
綏稜	绥棱	Suí léng	Suileng county in Suihua 綏化|绥化, Heilongjiang
綏稜縣	绥棱县	Suí léng xiàn	Suileng county in Suihua 綏化|绥化, Heilongjiang
綏芬河	绥芬河	Suí fēn hé	Suifenhe River/Suifenhe county level city in Mudanjiang 牡丹江, Heilongjiang
綏芬河市	绥芬河市	Suí fēn hé shì	Suifenhe county level city in Mudanjiang 牡丹江, Heilongjiang
綏遠	绥远	Suí yuǎn	old name for district of Hohhot city 呼和浩特[Hū hé hào tè], Inner Mongolia
綏遠省	绥远省	Suí yuǎn shěng	former Suiyuan province in Inner Mongolia and Shanxi
綏陽	绥阳	Suí yáng	Suiyang county in Zunyi 遵義|遵义[Zūn yì], Guizhou
綏陽縣	绥阳县	Suí yáng xiàn	Suiyang county in Zunyi 遵義|遵义[Zūn yì], Guizhou
綏靖	绥靖	suí jìng	to pacify/to appease/appeasement
綏靖主義	绥靖主义	suí jìng zhǔ yì	appeasement
