綢	绸	chóu	(light) silk/CL:匹[pǐ]
府綢	府绸	fǔ chóu	poplin (cotton cloth used for shirts)
未雨綢繆	未雨绸缪	wèi yǔ chóu móu	lit. before it rains, bind around with silk (idiom, from Book of Songs 詩經|诗经); fig. to plan ahead/to prepare for a rainy day
絲綢	丝绸	sī chóu	silk cloth/silk
絲綢之路	丝绸之路	Sī chóu zhī Lù	the Silk Road
絲綢古路	丝绸古路	Sī chóu Gǔ lù	the ancient Silk Road/see also 絲綢之路|丝绸之路[Sī chóu zhī Lù]
絲綢織物	丝绸织物	sī chóu zhī wù	silk fabric
塔夫綢	塔夫绸	tǎ fū chóu	taffeta
綢子	绸子	chóu zi	silk fabric/silk/CL:匹[pǐ]
綢緞	绸缎	chóu duàn	satin/silk fabric
綢繆	绸缪	chóu móu	to be sentimentally attached to sb or sth
綿綢	绵绸	mián chóu	rough-textured fabric of waste silk
薄綢	薄绸	báo chóu	light silk/silk chiffon
