網	网	wǎng	net/network
三天打魚，兩天曬網	三天打鱼，两天晒网	sān tiān dǎ yú , liǎng tiān shài wǎng	lit. to fish for three days and sun-dry the nets for two days (proverb)/fig. not to persevere in doing sth/to do sth by fits and starts
上網	上网	shàng wǎng	to go online/to connect to the Internet/(of a document etc) to be uploaded to the Internet/(tennis, volleyball etc) to move in close to the net
上網本	上网本	shàng wǎng běn	netbook
下網	下网	xià wǎng	to cast a fishing net/(computing) to go offline
不是魚死就是網破	不是鱼死就是网破	bù shì yú sǐ jiù shì wǎng pò	lit. either the fish dies or the net gets torn (idiom)/fig. it's a life-and-death struggle/it's either him or me
中國教育和科研計算機網	中国教育和科研计算机网	Zhōng guó Jiào yù hé Kē yán Jì suàn jī Wǎng	China Education and Research Network (CERNET)/abbr. to 中國教育網|中国教育网[Zhōng guó Jiào yù Wǎng]
中國教育網	中国教育网	Zhōng guó Jiào yù Wǎng	abbr. for 中國教育和科研計算機網|中国教育和科研计算机网[Zhōng guó Jiào yù hé Kē yán Jì suàn jī Wǎng]
中國新聞網	中国新闻网	Zhōng guó Xīn wén Wǎng	China News Service website (chinanews.com)
中新網	中新网	Zhōng xīn wǎng	ChinaNews (China News Service)
主幹網絡	主干网络	zhǔ gàn wǎng luò	core network
主幹網路	主干网路	zhǔ gàn wǎng lù	core network/backbone network
互聯網	互联网	Hù lián wǎng	Internet
互聯網站	互联网站	hù lián wǎng zhàn	Internet site
互聯網絡	互联网络	hù lián wǎng luò	network
交換以太網絡	交换以太网络	jiāo huàn yǐ tài wǎng luò	switched Ethernet
交換網路	交换网路	jiāo huàn wǎng lù	switched network
人人網	人人网	Rén rén Wǎng	Renren (Chinese social networking website)
人民網	人民网	Rén mín wǎng	online version of the People's Daily, 人民日報|人民日报[Rén mín Rì bào]
令牌環網	令牌环网	lìng pái huán wǎng	token ring network
以太網	以太网	Yǐ tài wǎng	Ethernet
以太網絡	以太网络	Yǐ tài wǎng luò	Ethernet
以太網絡端口	以太网络端口	yǐ tài wǎng luò duān kǒu	Ethernet port
以太網路	以太网路	Yǐ tài wǎng lù	Ethernet
企業內網路	企业内网路	qǐ yè nèi wǎng lù	intranet/company-internal network
企業間網路	企业间网路	qǐ yè jiān wǎng lù	extranet/company-external network
僵屍網絡	僵尸网络	jiāng shī wǎng luò	botnet/zombie network/slave network (used by spammers)
光面內質網	光面内质网	guāng miàn nèi zhì wǎng	smooth endoplasmic reticulum
入口網	入口网	rù kǒu wǎng	Web portal/(enterprise) portal
內聯網	内联网	nèi lián wǎng	intranet
內質網	内质网	nèi zhì wǎng	endoplasmic reticulum (ER)
內部網	内部网	nèi bù wǎng	intranet
全球資訊網	全球资讯网	quán qiú zī xùn wǎng	world wide web/WWW
公共交換電話網路	公共交换电话网路	gōng gòng jiāo huàn diàn huà wǎng lù	public switched telephone network/PSTN
公用交換電話網	公用交换电话网	gōng yòng jiāo huàn diàn huà wǎng	public switched telephone network/PSTN
公眾電信網路	公众电信网路	gōng zhòng diàn xìn wǎng lù	public telephone network
公網	公网	gōng wǎng	(computing) public network/wide area network/Internet
公路網	公路网	gōng lù wǎng	road network
分佈式網絡	分布式网络	fēn bù shì wǎng luò	distributed network
分銷網絡	分销网络	fēn xiāo wǎng luò	distribution network
刑網	刑网	xíng wǎng	legal net/the long arm of the law
加值型網路	加值型网路	jiā zhí xíng wǎng lù	value added network/VAN
動態網頁	动态网页	dòng tài wǎng yè	dynamic webpage
區域網絡	区域网络	qū yù wǎng luò	local area network/LAN
區域網路	区域网路	qū yù wǎng lù	local area network/LAN
區域網路技術	区域网路技术	qū yù wǎng lù jì shù	LAN technology
卓越網	卓越网	Zhuó yuè Wǎng	Joyo.com
吸引子網絡	吸引子网络	xī yǐn zǐ wǎng luò	attractor network
因特網	因特网	Yīn tè wǎng	Internet
因特網提供商	因特网提供商	yīn tè wǎng tí gōng shāng	Internet service provider (ISP)
因特網聯通	因特网联通	yīn tè wǎng lián tōng	Internet connection
固網電信	固网电信	gù wǎng diàn xìn	landline (fixed-line) telecommunications
國家互聯網信息辦公室	国家互联网信息办公室	Guó jiā Hù lián wǎng Xìn xī Bàn gōng shì	Cyberspace Administration of China (CAC)
國家電網公司	国家电网公司	Guó jiā Diàn wǎng Gōng sī	State Grid Corporation of China
國際互聯網絡	国际互联网络	guó jì hù lián wǎng luò	Internet
國際網絡	国际网络	guó jì wǎng luò	global network/Internet
圍網	围网	wéi wǎng	seine net/wire mesh fence/fence screen
土豆網	土豆网	Tǔ dòu Wǎng	Tudou, a Chinese video-sharing website
城域網	城域网	chéng yù wǎng	metropolitan area network
基網	基网	jī wǎng	base net (in geodetic survey)
墜入情網	坠入情网	zhuì rù qíng wǎng	to fall in love
壁網球	壁网球	bì wǎng qiú	jai alai (sports)
天網恢恢	天网恢恢	tiān wǎng huī huī	lit. heaven's net has wide meshes, but nothing escapes it (idiom, from Laozi 73)/fig. the way of Heaven is fair, but the guilty will not escape/you can't run from the long arm of the law
天網恢恢，疏而不失	天网恢恢，疏而不失	tiān wǎng huī huī , shū ér bù shī	lit. heaven's net has wide meshes, but nothing escapes it (idiom, from Laozi 73)/fig. the way of Heaven is fair, but the guilty will not escape/you can't run from the long arm of the law
天網恢恢，疏而不漏	天网恢恢，疏而不漏	tiān wǎng huī huī , shū ér bù lòu	lit. heaven's net has wide meshes, but nothing escapes it (idiom, from Laozi 73)/fig. the way of Heaven is fair, but the guilty will not escape/you can't run from the long arm of the law
天羅地網	天罗地网	tiān luó dì wǎng	inescapable net (idiom)/trap/dragnet
子網	子网	zǐ wǎng	subnetwork
子網屏蔽碼	子网屏蔽码	zǐ wǎng píng bì mǎ	subnet mask (computing)
安全網	安全网	ān quán wǎng	safety net
官網	官网	guān wǎng	official website (abbr. for 官方網站|官方网站[guān fāng wǎng zhàn])
封網	封网	fēng wǎng	to intercept at the net (volleyball, tennis etc)/(computing) to seal off a network
專用網路	专用网路	zhuān yòng wǎng lù	dedicated network
局域網	局域网	jú yù wǎng	local area network (LAN)
局部連結網絡	局部连结网络	jú bù lián jié wǎng luò	local connectionist network
巨細胞病毒視網膜炎	巨细胞病毒视网膜炎	jù xì bāo bìng dú shì wǎng mó yán	cytomegalovirus retinitis, a disease of the retina that can lead to blindness/CMV retinitis
廣域網	广域网	guǎng yù wǎng	wide area network/WAN
廣域網路	广域网路	guǎng yù wǎng lù	wide area network/WAN
廣播網	广播网	guǎng bō wǎng	network
廣播網路	广播网路	guǎng bō wǎng lù	broadcast network
快速以太網絡	快速以太网络	kuài sù yǐ tài wǎng luò	Fast Ethernet
情網	情网	qíng wǎng	snare of love
打網	打网	dǎ wǎng	to net sth/to catch sth with a net
抄網	抄网	chāo wǎng	dip net
拖網	拖网	tuō wǎng	dragnet/trawl/trawlnet
排污地下主管網	排污地下主管网	pái wū dì xià zhǔ guǎn wǎng	underground sewage network
搜狐網	搜狐网	Sōu hú Wǎng	Sohu, Chinese web portal and online media company
撒網	撒网	sā wǎng	to throw a net
撒網捕風	撒网捕风	sā wǎng bǔ fēng	lit. the wind cannot be caught in a net/to waste one's effort (idiom)
擦網球	擦网球	cā wǎng qiú	net ball/let (tennis etc)
攔網	拦网	lán wǎng	to intercept at the net (volleyball, tennis etc)/to block
攜程旅行網	携程旅行网	Xié chéng Lǚ xíng Wǎng	Ctrip.com, PRC travel agency
整體數位服務網路	整体数位服务网路	zhěng tǐ shù wèi fú wù wǎng lù	Integrated Service Digital Network/ISDN
整體服務數位網路	整体服务数位网路	zhěng tǐ fú wù shù wèi wǎng lù	Integrated Services Digital Network/ISDN
數位網路	数位网路	shù wèi wǎng lù	digital network
數字網	数字网	shù zì wǎng	digital network
數據網絡	数据网络	shù jù wǎng luò	data network
新浪網	新浪网	Xīn làng Wǎng	Sina, Chinese web portal and online media company
新聞網	新闻网	xīn wén wǎng	news agency
新華網	新华网	Xīn huá Wǎng	Xinhua News Network
易遊網	易游网	Yì yóu Wǎng	ezTravel, Taiwanese travel agency
星型網	星型网	Xīng xíng wǎng	Star network
暗網	暗网	Àn wǎng	(computing) Dark Web
曬黑網	晒黑网	shài hēi wǎng	consumer protection website www.shaihei.com
有線新聞網	有线新闻网	Yǒu xiàn Xīn wén Wǎng	Cable Network News (CNN)
格網	格网	gé wǎng	(math.) lattice
法網	法网	Fǎ wǎng	French Open (tennis tournament)
法網	法网	fǎ wǎng	the net of justice/rigorous process of the law/the long arm of the law
法網灰灰，疏而不漏	法网灰灰，疏而不漏	fǎ wǎng huī huī , shū ér bù lòu	The net of justice is wide, but no-one escapes.
法網難逃	法网难逃	fǎ wǎng nán táo	it is hard to escape the net of justice (idiom)
洗衣網	洗衣网	xǐ yī wǎng	mesh laundry bag (for keeping garments separate from others in the washing machine)
流網	流网	liú wǎng	drift net (fishing)
淘寶網	淘宝网	Táo bǎo Wǎng	Taobao Marketplace, a Chinese website for online shopping
深海圍網	深海围网	shēn hǎi wéi wǎng	purse-seine net (fishing)
溫布爾登網球公開賽	温布尔登网球公开赛	Wēn bù ěr dēng Wǎng qiú Gōng kāi sài	Wimbledon Championships (tennis)
溫網	温网	Wēn wǎng	Wimbledon Championships (tennis)/abbr. for 溫布爾登網球公開賽|温布尔登网球公开赛[Wēn bù ěr dēng Wǎng qiú Gōng kāi sài]
漁網	渔网	yú wǎng	fishing net/fishnet
漏網之魚	漏网之鱼	lòu wǎng zhī yú	a fish that escaped the net (idiom)/(fig.) sb or sth that slips through the net
漏網游魚	漏网游鱼	lòu wǎng yóu yú	see 漏網之魚|漏网之鱼[lòu wǎng zhī yú]
澳網	澳网	Ào wǎng	Australian Open (tennis tournament)
濾網	滤网	lǜ wǎng	filter/a sieve
無結網	无结网	wú jié wǎng	knotless netting (textiles)
無網格法	无网格法	wú wǎng gé fǎ	meshless method (numerical simulation)/meshfree method
無線網路	无线网路	wú xiàn wǎng lù	wireless network
球網	球网	qiú wǎng	net (for ball games)
用戶到網絡接口	用户到网络接口	yòng hù dào wǎng luò jiē kǒu	user-network interface/UNI
用戶到網絡的接口	用户到网络的接口	yòng hù dào wǎng luò de jiē kǒu	User-Network Interface/UNI
異質網路	异质网路	yì zhì wǎng lù	heterogeneous network
社交網站	社交网站	shè jiāo wǎng zhàn	social networking site
神經元網	神经元网	shén jīng yuán wǎng	neural network
神經網	神经网	shén jīng wǎng	neural net
神經網絡	神经网络	shén jīng wǎng luò	neural network
神經網路	神经网路	shén jīng wǎng lù	neural network (artificial or biological)
