恥	耻	chǐ	shame/disgrace
不知羞恥	不知羞耻	bù zhī xiū chǐ	to have no sense of shame/brazen
八榮八恥	八荣八耻	Bā Róng Bā Chǐ	Eight Honors and Eight Shames, PRC official moral guidelines
勿忘國恥	勿忘国耻	wù wàng guó chǐ	Never forget national humiliation, refers to Mukden railway incident of 18th September 1931 九一八事變|九一八事变 and subsequent Japanese annexation of Manchuria
厚顏無恥	厚颜无耻	hòu yán wú chǐ	shameless
可恥	可耻	kě chǐ	shameful/disgraceful/ignominious
含忍恥辱	含忍耻辱	hán rěn chǐ rǔ	to eat humble pie/to accept humiliation/to turn the other cheek
國恥	国耻	guó chǐ	national humiliation, refers to Japanese incursions into China in the 1930s and 40s, and more especially to Mukden railway incident of 18th September 1931 九一八事變|九一八事变 and subsequent Japanese annexation of Manchuria
報仇雪恥	报仇雪耻	bào chóu xuě chǐ	to take revenge and erase humiliation (idiom)
奇恥大辱	奇耻大辱	qí chǐ dà rǔ	extraordinary shame and humiliation (idiom)
好學近乎知，力行近乎仁，知恥近乎勇	好学近乎知，力行近乎仁，知耻近乎勇	hào xué jìn hū zhī , lì xíng jìn hū rén , zhī chǐ jìn hū yǒng	to love learning is akin to knowledge, to study diligently is akin to benevolence, to know shame is akin to courage (Confucius)
廉恥	廉耻	lián chǐ	honor and shame/sense of honor
忍恥	忍耻	rěn chǐ	to endure humiliation
不恥下問	不耻下问	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates
恥毛	耻毛	chǐ máo	pubic hair
恥笑	耻笑	chǐ xiào	to sneer at sb/to ridicule
恥罵	耻骂	chǐ mà	to abuse/to mock
恥辱	耻辱	chǐ rǔ	disgrace/shame/humiliation
恥骨	耻骨	chǐ gǔ	pubis/pubic bone
恬不知恥	恬不知耻	tián bù zhī chǐ	to have no sense of shame
無恥	无耻	wú chǐ	without any sense of shame/unembarrassed/shameless
病恥感	病耻感	bìng chǐ gǎn	stigma attached to a disease
知恥	知耻	zhī chǐ	to have a sense of shame
禮義廉恥	礼义廉耻	lǐ yì lián chǐ	sense of propriety, justice, integrity and honor (i.e. the four social bonds, 四維|四维[sì wéi])
羞恥	羞耻	xiū chǐ	(a feeling of) shame
荒淫無恥	荒淫无耻	huāng yín wú chǐ	shameless
貧不足恥	贫不足耻	pín bù zú chǐ	it is no disgrace to be poor (idiom)
雪恥	雪耻	xuě chǐ	to take revenge for a past insult/to expunge a disgrace or humiliation
