聖	圣	shèng	holy/sacred/saint/sage
伊斯蘭聖戰組織	伊斯兰圣战组织	Yī sī lán Shèng zhàn Zǔ zhī	Islamic Jihad (Palestinian armed faction)
入聖	入圣	rù shèng	to become an arhat (Buddhism)
博科聖地	博科圣地	Bó kē Shèng dì	Boko Haram, Islamic insurgent group in north Nigeria
反聖嬰	反圣婴	Fǎn shèng yīng	La Niña (counterpart of El Niño in meteorology)
四聖諦	四圣谛	sì shèng dì	the Four Noble Truths (Buddhism)/see also 四諦|四谛[sì dì] and 苦集滅道|苦集灭道[kǔ jí miè dào]
基督聖體節	基督圣体节	Jī dū Shèng tǐ jié	Corpus Christi (Catholic festival on second Thursday after Whit Sunday)
大聖	大圣	dà shèng	great sage/mahatma/king/emperor/outstanding personage/Buddha
孔聖人	孔圣人	Kǒng shèng rén	the Sage Confucius
孝聖憲	孝圣宪	Xiào shèng xiàn	Empress Xiaoshengxian (1693-1777), consort of Emperor Yongzheng 雍正[Yōng zhèng] and mother of Emperor Qianlong 乾隆[Qián lóng]
孫大聖	孙大圣	Sūn dà shèng	Great-Sage Sun/Sun Wukong 孫悟空|孙悟空[Sūn Wù kōng]
宗聖侯	宗圣侯	Zōng shèng hóu	hereditary title bestowed on Confucius' descendants
宗聖公	宗圣公	Zōng Shèng gōng	hereditary title bestowed on Confucius' descendants
山中聖訓	山中圣训	shān zhōng shèng xùn	the Sermon on the Mount
巴黎聖母院	巴黎圣母院	Bā lí Shèng mǔ yuàn	Notre-Dame Cathedral (Paris, France)
教義和聖約	教义和圣约	Jiào yì hé Shèng yuē	Doctrine and Covenants
文聖區	文圣区	Wén shèng qū	Wensheng district of Liaoyang city 遼陽市|辽阳市[Liáo yáng shì], Liaoning
書聖	书圣	Shū shèng	great calligraphy master/the Sage of Calligraphy, traditional reference to Wang Xizhi 王羲之[Wáng Xī zhī] (303-361)
朝拜聖山	朝拜圣山	cháo bài shèng shān	a pilgrimage to a holy mountain
朝聖	朝圣	cháo shèng	to make a pilgrimage
朝聖者	朝圣者	cháo shèng zhě	pilgrim
武聖	武圣	Wǔ Shèng	the Saint of War (i.e. the deified Guan Yu 關羽|关羽[Guān Yǔ])
殷憂啟聖	殷忧启圣	yīn yōu qǐ shèng	deep suffering can lead to enlightenment (idiom)/storms make oaks take deeper root
神聖	神圣	shén shèng	divine/hallow/holy/sacred
神聖不可侵犯	神圣不可侵犯	shén shèng bù kě qīn fàn	sacred/inviolable
神聖羅馬帝國	神圣罗马帝国	Shén shèng Luó mǎ Dì guó	the Holy Roman Empire (history)
神聖週	神圣周	shén shèng zhōu	Holy week/Easter week (esp. Catholic)
穆聖	穆圣	Mù shèng	Prophet Muhammad
耶穌基督後期聖徒教會	耶稣基督后期圣徒教会	Yē sū Jī dū Hòu qī Shèng tú Jiào huì	The Church of Jesus Christ of Latter-day Saints
耶穌基督末世聖徒教會	耶稣基督末世圣徒教会	Yē sū Jī dū Mò shì Shèng tú Jiào huì	The Church of Jesus Christ of Latter-day Saints
亞聖	亚圣	yà shèng	Second Sage, traditional title of Mencius 孟子[Mèng zǐ] in Confucian studies
聖上	圣上	shèng shàng	courtier's or minister's form of address for the current Emperor
聖事	圣事	shèng shì	Holy sacrament/Christian rite (esp. Catholic)/also called 聖禮|圣礼 by Protestants
聖人	圣人	shèng rén	saint/sage/refers to Confucius 孔子[Kǒng zǐ]/the current reigning Emperor
聖代	圣代	shèng dài	sundae (loanword)
