職	职	zhí	office/duty
任職	任职	rèn zhí	to hold an office or post
任職期間	任职期间	rèn zhí qī jiān	term of office/while holding a post
供職	供职	gòng zhí	to hold an office or post
停職	停职	tíng zhí	to suspend (sb) from duties
停薪留職	停薪留职	tíng xīn liú zhí	leave of absence without pay
免去職務	免去职务	miǎn qù zhí wù	to relieve from office/to sack
免職	免职	miǎn zhí	to relieve sb of his post/to sack/to demote/dismissal/sacking
全職	全职	quán zhí	full-time job
公職	公职	gōng zhí	civil service/public office/government job
公職人員	公职人员	gōng zhí rén yuán	official employee/government official
兼職	兼职	jiān zhí	to hold concurrent posts/concurrent job/moonlighting
冗職	冗职	rǒng zhí	redundant position
削職	削职	xuē zhí	demotion/to have one's job cut
削職為民	削职为民	xuē zhí wéi mín	demotion to commoner (idiom)
升職	升职	shēng zhí	to get promoted (at work etc)/promotion
半職	半职	bàn zhí	part-time work
卸職	卸职	xiè zhí	to resign from office/to dismiss from office
去職	去职	qù zhí	to leave office
因公殉職	因公殉职	yīn gōng xùn zhí	to die as in the line of duty (idiom)
在職	在职	zài zhí	to be employed/to be in post/on-the-job
在職訓練	在职训练	zài zhí xùn liàn	on-the-job training
天職	天职	tiān zhí	vocation/duty/mission in life
失職	失职	shī zhí	to lose one's job/unemployment/not to fulfill one's obligations/to neglect one's job/dereliction of duty
奉職	奉职	fèng zhí	devotion to duty
守職	守职	shǒu zhí	to observe one's duty steadfastly/devoted to one's job
官復原職	官复原职	guān fù yuán zhí	restored to one's official post/to send sb back to his former post
官職	官职	guān zhí	an official position/a job in the bureaucracy
宣誓就職	宣誓就职	xuān shì jiù zhí	to swear the oath of office
實職	实职	shí zhí	active participation
專職	专职	zhuān zhí	special duty/assigned full time to a task
就職	就职	jiù zhí	to take office/to assume a post
就職典禮	就职典礼	jiù zhí diǎn lǐ	inauguration
就職演說	就职演说	jiù zhí yǎn shuō	inaugural speech
就職演講	就职演讲	jiù zhí yǎn jiǎng	inaugural lecture
廣東科學技術職業學院	广东科学技术职业学院	Guǎng dōng Kē xué jì shù Zhí yè Xué yuàn	Guangdong Institute of Science and Technology
