膠	胶	jiāo	to glue/glue/gum/rubber
三秒膠	三秒胶	sān miǎo jiāo	superglue
乳膠	乳胶	rǔ jiāo	latex
乳膠漆	乳胶漆	rǔ jiāo qī	latex paint/emulsion paint
光刻膠	光刻胶	guāng kè jiāo	photoresist (laser etching used in microelectronics)
凍膠	冻胶	dòng jiāo	gel
凝膠	凝胶	níng jiāo	gel
凝膠體	凝胶体	níng jiāo tǐ	gel
南膠河	南胶河	Nán jiāo Hé	Nanjiao River (Shandong province, flows into Qingdao harbor)
卡拉膠	卡拉胶	kǎ lā jiāo	carageenan (chemistry)
合成橡膠	合成橡胶	hé chéng xiàng jiāo	synthetic rubber
塑膠	塑胶	sù jiāo	plastic/synthetic resin/plastic cement
塑膠炸藥	塑胶炸药	sù jiāo zhà yào	plastic explosive
塑膠爆炸物	塑胶爆炸物	sù jiāo bào zhà wù	plastic explosive
塑膠跑道	塑胶跑道	sù jiāo pǎo dào	synthetic athletics track/tartan track
塑膠車	塑胶车	sù jiāo chē	scooter (Tw)
天然橡膠	天然橡胶	tiān rán xiàng jiāo	natural rubber
如膠似漆	如胶似漆	rú jiāo sì qī	stuck together as by glue (of lovers)/joined at the hip
密封膠	密封胶	mì fēng jiāo	sealant/sealing glue
寬膠帶	宽胶带	kuān jiāo dài	duct tape
少突膠質	少突胶质	shǎo tū jiāo zhì	oligodendrocytes (Greek: cells with few branches), a type of cell in central nervous system/oligodendroglia
強力膠	强力胶	qiáng lì jiāo	superglue
微縮膠捲	微缩胶卷	wēi suō jiāo juǎn	microfilm
微膠囊技術	微胶囊技术	wēi jiāo náng jì shù	microencapsulation
打膠槍	打胶枪	dǎ jiāo qiāng	sealant gun/glue gun
明膠	明胶	míng jiāo	gelatin
時空膠囊	时空胶囊	shí kōng jiāo náng	time capsule (Tw)
果味膠糖	果味胶糖	guǒ wèi jiāo táng	jujube
果膠	果胶	guǒ jiāo	pectin
栲膠	栲胶	kǎo jiāo	tannin
樹膠	树胶	shù jiāo	tree resin/gum
橡膠	橡胶	xiàng jiāo	rubber/caoutchouc
橡膠樹	橡胶树	xiàng jiāo shù	rubber tree
氣凝膠	气凝胶	qì níng jiāo	aerogel
氣溶膠	气溶胶	qì róng jiāo	aerosol
氣溶膠偵察儀	气溶胶侦察仪	qì róng jiāo zhēn chá yí	aerosol detector
氣膠	气胶	qì jiāo	aerosol
氯丁橡膠	氯丁橡胶	lǜ dīng xiàng jiāo	neoprene
異戊橡膠	异戊橡胶	yì wù xiàng jiāo	isoprene rubber
發泡膠	发泡胶	fā pào jiāo	expanded polystyrene (EPS)/styrofoam
白乳膠	白乳胶	bái rǔ jiāo	white glue
矽橡膠	矽橡胶	xī xiàng jiāo	(Tw) silicone rubber
矽膠	矽胶	xī jiāo	(Tw) silica gel/silicone rubber
硅橡膠	硅橡胶	guī xiàng jiāo	silicone rubber
硅膠	硅胶	guī jiāo	silica gel/silicone rubber
神經膠質	神经胶质	shén jīng jiāo zhì	glial cell/neuroglia
神經膠質細胞	神经胶质细胞	shén jīng jiāo zhì xì bāo	glial cell (provide support to neuron)/neuroglia
纖維膠	纤维胶	xiān wéi jiāo	viscose
502膠	502胶	wǔ líng èr jiāo	cyanoacrylate glue
膠乳	胶乳	jiāo rǔ	latex
膠南	胶南	Jiāo nán	Jiaonan county level city in Qingdao 青島|青岛, Shandong
膠南市	胶南市	Jiāo nán shì	Jiaonan county level city in Qingdao 青島|青岛, Shandong
膠印	胶印	jiāo yìn	offset printing
膠卷	胶卷	jiāo juǎn	film/roll of film/also written 膠捲|胶卷
膠原	胶原	jiāo yuán	collagen (protein)
膠原蛋白	胶原蛋白	jiāo yuán dàn bái	collagen
膠原質	胶原质	jiāo yuán zhì	collagen (protein)
膠合	胶合	jiāo hé	to join with glue
膠合板	胶合板	jiāo hé bǎn	plywood
膠囊	胶囊	jiāo náng	capsule (pharm.)/caplet
膠圈	胶圈	jiāo quān	rubber ring/gasket
膠子	胶子	jiāo zǐ	gluon (particle physics)
膠州	胶州	Jiāo zhōu	Jiaozhou county level city in Qingdao 青島|青岛, Shandong
膠州市	胶州市	Jiāo zhōu shì	Jiaozhou county level city in Qingdao 青島|青岛, Shandong
