腦	脑	nǎo	brain/mind/head/essence
一股腦	一股脑	yī gǔ nǎo	all of it/lock, stock and barrel
一股腦兒	一股脑儿	yī gǔ nǎo r5	erhua variant of 一股腦|一股脑[yī gǔ nǎo]
丈二和尚，摸不著頭腦	丈二和尚，摸不着头脑	zhàng èr hé shang , mō bu zháo tóu nǎo	lit. like a three-meter high monk, you can't rub his head (idiom)/fig. at a total loss
丈二金剛摸不著頭腦	丈二金刚摸不着头脑	zhàng èr Jīn gāng mō bu zháo tóu nǎo	see 丈二和尚，摸不著頭腦|丈二和尚，摸不着头脑[zhàng èr hé shang , mō bu zháo tóu nǎo]
下丘腦	下丘脑	xià qiū nǎo	hypothalamus (anatomy)
丘腦	丘脑	qiū nǎo	thalamus
丘腦損傷	丘脑损伤	qiū nǎo sǔn shāng	thalamic lesions
乙型腦炎	乙型脑炎	yǐ xíng nǎo yán	epidemic encephalitis B, aka Japanese encephalitis
乙腦	乙脑	yǐ nǎo	epidemic encephalitis B (abbr. for 乙型腦炎|乙型脑炎[yǐ xíng nǎo yán])
個人電腦	个人电脑	gè rén diàn nǎo	personal computer/PC
傷腦筋	伤脑筋	shāng nǎo jīn	to be a real headache/to find sth a real headache/to beat one's brains
傻頭傻腦	傻头傻脑	shǎ tóu shǎ nǎo	a fool
動腦	动脑	dòng nǎo	to use one's brain
動腦筋	动脑筋	dòng nǎo jīn	to use one's brains/to think
台式電腦	台式电脑	tái shì diàn nǎo	desktop computer
囟腦門	囟脑门	xìn nǎo mén	fontanel (gap between the bones of an infant's skull)
土頭土腦	土头土脑	tǔ tóu tǔ nǎo	rustic/uncouth/unsophisticated
大腦	大脑	dà nǎo	brain/cerebrum
大腦死亡	大脑死亡	dà nǎo sǐ wáng	brain dead
委內瑞拉馬腦炎病毒	委内瑞拉马脑炎病毒	Wěi nèi ruì lā mǎ nǎo yán bìng dú	Venezuelan equine encephalitis (VEE) virus
家用電腦	家用电脑	jiā yòng diàn nǎo	home computer
小腦	小脑	xiǎo nǎo	cerebellum (part of the brain)
屁股決定腦袋	屁股决定脑袋	pì gu jué dìng nǎo dai	lit. the butt governs the head (idiom)/fig. where one stands depends on where one sits/one's views are shaped by one's circumstances
巴頭探腦	巴头探脑	bā tóu tàn nǎo	to poke one's head in and pry (idiom); to spy/nosy
平板電腦	平板电脑	píng bǎn diàn nǎo	tablet computer (iPad, Android devices etc)/CL:臺|台[tái]
後腦	后脑	hòu nǎo	hindbrain/back of the head
後腦勺	后脑勺	hòu nǎo sháo	back of the head
微電腦	微电脑	wēi diàn nǎo	microcomputer
愣頭愣腦	愣头愣脑	lèng tóu lèng nǎo	rash/impetuous/reckless
戇頭戇腦	戆头戆脑	gàng tóu gàng nǎo	stupid (Wu dialect)
手提電腦	手提电脑	shǒu tí diàn nǎo	portable computer
掌上電腦	掌上电脑	zhǎng shàng diàn nǎo	handheld computer/PDA (personal digital assistant)/Pocket PC
掌握電腦	掌握电脑	zhǎng wò diàn nǎo	PDA/Personal Digital Assistant
探頭探腦	探头探脑	tàn tóu tàn nǎo	to stick one's head out and look around (idiom)
探頭探腦兒	探头探脑儿	tàn tóu tàn nǎo r5	erhua variant of 探頭探腦|探头探脑[tàn tóu tàn nǎo]
提神醒腦	提神醒脑	tí shén xǐng nǎo	to refresh and clear the mind (idiom)/invigorating/bracing
摸不著頭腦	摸不着头脑	mō bu zháo tóu nǎo	to be unable to make any sense of the matter/to be at a loss
政府首腦	政府首脑	zhèng fǔ shǒu nǎo	head of state/government leader
日本腦炎	日本脑炎	Rì běn nǎo yán	Japanese encephalitis
昏頭昏腦	昏头昏脑	hūn tóu hūn nǎo	confused/dizzy/fainting
映入腦海	映入脑海	yìng rù nǎo hǎi	to come to mind/to come to one's attention
東方馬腦炎病毒	东方马脑炎病毒	dōng fāng mǎ nǎo yán bìng dú	eastern equine encephalitis (EEE) virus
桌上型電腦	桌上型电脑	zhuō shàng xíng diàn nǎo	desktop computer
森林腦炎	森林脑炎	sēn lín nǎo yán	forest encephalitis
榆木腦殼	榆木脑壳	yú mù nǎo ké	bullet-headed/stubborn
樟腦	樟脑	zhāng nǎo	camphor C10H16O
樟腦丸	樟脑丸	zhāng nǎo wán	camphor balls/moth balls
樟腦球	樟脑球	zhāng nǎo qiú	camphor balls/moth balls
橋腦	桥脑	qiáo nǎo	(anatomy) pons
橫頭橫腦	横头横脑	héng tóu héng nǎo	coarse and arrogant/always in the right
沖昏頭腦	冲昏头脑	chōng hūn tóu nǎo	lit. to be muddled in the brain (idiom); fig. excited and unable to act rationally/to go to one's head
洗腦	洗脑	xǐ nǎo	to brainwash
流腦	流脑	liú nǎo	epidemic encephalitis
牛海綿狀腦病	牛海绵状脑病	niú hǎi mián zhuàng nǎo bìng	bovine spongiform encephalopathy, BSE/mad cow disease
石腦油	石脑油	shí nǎo yóu	naphtha
神舟電腦	神舟电脑	shén zhōu diàn nǎo	Hasee (computer manufacturer)
筆記型電腦	笔记型电脑	bǐ jì xíng diàn nǎo	notebook (computer)
筆記本電腦	笔记本电脑	bǐ jì běn diàn nǎo	laptop/notebook (computer)/CL:臺|台[tái],部[bù]
精蟲衝腦	精虫冲脑	jīng chóng chōng nǎo	lit. the spermatozoons have gone to his head/fig. overwhelmed by lust
絞盡腦汁	绞尽脑汁	jiǎo jìn nǎo zhī	to rack one's brains
絞腦汁	绞脑汁	jiǎo nǎo zhī	to rack one's brains
置之腦後	置之脑后	zhì zhī nǎo hòu	to banish from one's thoughts/to ignore/to take no notice
肝腦塗地	肝脑涂地	gān nǎo tú dì	to offer one's life in sacrifice
胸大無腦	胸大无脑	xiōng dà wú nǎo	(having) big boobs but no brain/bimbo
一古腦兒	一古脑儿	yī gǔ nǎo r5	variant of 一股腦兒|一股脑儿[yī gǔ nǎo r5]
腦下垂體	脑下垂体	nǎo xià chuí tǐ	pituitary glands (at the base of the skull)
腦中風	脑中风	nǎo zhòng fēng	cerebral stroke
腦充血	脑充血	nǎo chōng xuè	stroke/cerebral hemorrhage
腦兒	脑儿	nǎo r5	brains (as food)
腦內啡	脑内啡	nǎo nèi fēi	endorphin
腦出血	脑出血	nǎo chū xuè	cerebral hemorrhage
腦力	脑力	nǎo lì	mental capacity
腦力勞動	脑力劳动	nǎo lì láo dòng	mental labor/intellectual work
腦力激盪	脑力激荡	nǎo lì jī dàng	to brainstorm
腦勺	脑勺	nǎo sháo	back of the head
腦卒中	脑卒中	nǎo cù zhòng	stroke/cerebral hemorrhage
腦回	脑回	nǎo huí	gyrus (neuroanatomy)
腦圖	脑图	nǎo tú	mind map
腦垂體	脑垂体	nǎo chuí tǐ	pituitary gland
腦子	脑子	nǎo zi	brains/mind/CL:個|个[gè]
腦子有泡	脑子有泡	nǎo zi yǒu pào	soft in the head/brainless/dumb
腦子生銹	脑子生锈	nǎo zi shēng xiù	lit. brains rusty/ossified thinking
