脹	胀	zhàng	dropsical/swollen/to swell/to be bloated
吹脹	吹胀	chuī zhàng	to blow up/to inflate
惡性通貨膨脹	恶性通货膨胀	è xìng tōng huò péng zhàng	hyperinflation
滯脹	滞胀	zhì zhàng	stagflation (i.e. simultaneous inflation and stagnation)
發脹	发胀	fā zhàng	to swell up/swelling
紫脹	紫胀	zǐ zhàng	to get red and swollen
使膨脹	使膨胀	shǐ péng zhàng	to dilate/to expand
脹大	胀大	zhàng dà	swollen
脹起	胀起	zhàng qǐ	bulge
腦脹	脑胀	nǎo zhàng	lit. brain swelling/dizzy/light-headed/intoxicated
腫脹	肿胀	zhǒng zhàng	swelling/oedema/internal bruising
膨脹	膨胀	péng zhàng	to expand/to inflate/to swell
臌脹	臌胀	gǔ zhàng	see 鼓脹|鼓胀[gǔ zhàng]
通脹	通胀	tōng zhàng	inflation
通脹率	通胀率	tōng zhàng lǜ	inflation rate
通貨膨脹	通货膨胀	tōng huò péng zhàng	inflation
頭昏腦脹	头昏脑胀	tóu hūn nǎo zhàng	giddy/one's head spins
頭暈腦脹	头晕脑胀	tóu yūn nǎo zhàng	dizzy and light-headed
頭脹	头胀	tóu zhàng	distention in the head (TCM)
頭腦發脹	头脑发胀	tóu nǎo fā zhàng	swelling of the head (physical condition)/fig. swellheaded/conceited
鼓脹	鼓胀	gǔ zhàng	to swell/tympanites
