膩	腻	nì	greasy/soft/unctuous/intimate/tired of
油膩	油腻	yóu nì	grease/greasy food/oily/rich (of food)/fatty/greasy and dirty/a slippery character
滑膩	滑腻	huá nì	(of skin) satiny
煩膩	烦腻	fán nì	fed up
甜得發膩	甜得发腻	tián de fā nì	lovey-dovey/cloying/sugary
甜膩	甜腻	tián nì	sweet and unctuous/(fig.) overly sentimental
細膩	细腻	xì nì	exquisite/meticulous
聽膩了	听腻了	tīng nì le	fed up of hearing
肥膩	肥腻	féi nì	(of foods) fatty/greasy
厭膩	厌腻	yàn nì	to detest/to abhor
膩人	腻人	nì rén	greasy/boring
膩友	腻友	nì yǒu	intimate friend
膩味	腻味	nì wei	tired of/fed up/sick/(of a person) to annoy/tiresome
膩子	腻子	nì zi	putty (same as 泥子)/frequent caller/hanger-on
膩歪	腻歪	nì wai	(of a couple) to be sweet to each other/lovey-dovey/variant of 膩味|腻味[nì wei]
膩煩	腻烦	nì fán	bored/to be fed up with/sick and tired of sth
貓膩	猫腻	māo nì	(coll.) something fishy/shenanigans
黏膩	黏腻	nián nì	sticky/clammy/(fig.) clingy/emotionally dependent
