膚	肤	fū	skin
柔膚水	柔肤水	róu fū shuǐ	skin toner
潤膚乳	润肤乳	rùn fū rǔ	body lotion/body shampoo
潤膚膏	润肤膏	rùn fū gāo	moisturizing cream
潤膚霜	润肤霜	rùn fū shuāng	moisturizer
潤膚露	润肤露	rùn fū lù	body lotion
爽膚水	爽肤水	shuǎng fū shuǐ	toner (cosmetics)
皮膚	皮肤	pí fū	skin/CL:層|层[céng],塊|块[kuài]
皮膚病	皮肤病	pí fū bìng	dermatosis
皮膚癌	皮肤癌	pí fū ái	skin cancer
皮膚科	皮肤科	pí fū kē	dermatology
皮膚粗糙	皮肤粗糙	pí fū cū cāo	pachylosis
皮膚肌肉囊	皮肤肌肉囊	pí fū jī ròu náng	dermo-muscular sac
肌膚	肌肤	jī fū	skin/flesh/fig. close physical relationship
股慄膚粟	股栗肤粟	gǔ lì fū sù	with shuddering thighs and skin like gooseflesh (idiom)
切膚之痛	切肤之痛	qiè fū zhī tòng	keenly felt pain/bitter anguish
膚淺	肤浅	fū qiǎn	skin-deep/superficial/shallow
膚色	肤色	fū sè	skin color
舒膚佳	舒肤佳	Shū fū jiā	Safeguard (brand)
藍膚木	蓝肤木	lán fū mù	sumac (Rhus coriaria), east Mediterranean deciduous shrub with fruit used as spice/also called tanner's sumach or vinegar tree
護膚	护肤	hù fū	skincare
體無完膚	体无完肤	tǐ wú wán fū	lit. cuts and bruises all over (idiom); fig. totally refuted
體膚	体肤	tǐ fū	skin/flesh/body
鹽膚木	盐肤木	yán fū mù	Chinese sumac (Rhus chinensis)
