臉	脸	liǎn	face/CL:張|张[zhāng],個|个[gè]
不要臉	不要脸	bù yào liǎn	to have no sense of shame/shameless
丟臉	丢脸	diū liǎn	to lose face/humiliation
做臉	做脸	zuò liǎn	to win honor/to put on a stern face/to have a facial (beauty treatment)
做鬼臉	做鬼脸	zuò guǐ liǎn	to pull a face/to grimace/to scowl
別臉	别脸	bié liǎn	to turn one's face away
刮臉	刮脸	guā liǎn	to shave one's face
劈臉	劈脸	pī liǎn	right in the face
劈頭蓋臉	劈头盖脸	pī tóu gài liǎn	lit. splitting the head and covering the face (idiom); fig. pelting (with rain etc)/showering down
厚臉皮	厚脸皮	hòu liǎn pí	brazen/shameless/impudent/cheek/thick-skinned
反臉無情	反脸无情	fǎn liǎn wú qíng	to turn one's face against sb and show no mercy (idiom); to turn against a friend
哭喪臉	哭丧脸	kū sang liǎn	to pull a long face/sullen/also written 哭喪著臉|哭丧着脸
哭喪著臉	哭丧着脸	kū sang zhe liǎn	sullen/to scowl miserably
哭臉	哭脸	kū liǎn	to weep/to snivel
唱白臉	唱白脸	chàng bái liǎn	to play the role of the villain (idiom)
唱紅臉	唱红脸	chàng hóng liǎn	to play the role of the hero (idiom)/to play the good cop
唱黑臉	唱黑脸	chàng hēi liǎn	to play the role of the strict parent (or superior etc)
嘴臉	嘴脸	zuǐ liǎn	features, face (esp. derogatorily)/look/appearance/countenance
嘻皮笑臉	嘻皮笑脸	xī pí xiào liǎn	see 嬉皮笑臉|嬉皮笑脸[xī pí xiào liǎn]
四方臉	四方脸	sì fāng liǎn	square-jawed face
國字臉	国字脸	guó zì liǎn	square face
垮臉	垮脸	kuǎ liǎn	(of the face) to harden/to sag
夫妻臉	夫妻脸	fū qī liǎn	see 夫妻相[fū qī xiàng]
娃娃臉	娃娃脸	wá wa liǎn	baby face/doll face
嬉皮笑臉	嬉皮笑脸	xī pí xiào liǎn	all smiles/smiling mischievously or ingratiatingly
小白臉	小白脸	xiǎo bái liǎn	attractive young man (usually derog.)/pretty boy/gigolo
小白臉兒	小白脸儿	xiǎo bái liǎn r5	erhua variant of 小白臉|小白脸[xiǎo bái liǎn]
少女露笑臉，婚事半成全	少女露笑脸，婚事半成全	shào nǚ lù xiào liǎn , hūn shì bàn chéng quán	When the girl smiles, the matchmaker's job is half done. (idiom)
往臉上抹黑	往脸上抹黑	wǎng liǎn shàng mǒ hēi	to bring shame to/to smear/to disgrace
急赤白臉	急赤白脸	jí chì bái liǎn	to worry oneself sick/to fret
愁眉苦臉	愁眉苦脸	chóu méi kǔ liǎn	to look anxious (idiom)/to look miserable
打腫臉充胖子	打肿脸充胖子	dǎ zhǒng liǎn chōng pàng zi	lit. to swell one's face up by slapping it to look imposing (idiom); to seek to impress by feigning more than one's abilities
抹不下臉	抹不下脸	mǒ bù xià liǎn	to be unable to keep a straight face (idiom)
拉下臉	拉下脸	lā xià liǎn	to look displeased/to not be afraid of hurting sb's feelings/to put aside one's pride
拉長臉	拉长脸	lā cháng liǎn	to pull a long face/to scowl
拋臉	抛脸	pāo liǎn	to lose face/humiliation
捂臉	捂脸	wǔ liǎn	facepalm/to do a facepalm
摀住臉	捂住脸	wǔ zhù liǎn	to cover the face/to bury one's face in one's hands
撕破臉	撕破脸	sī pò liǎn	to have an acrimonious falling-out/to shed all pretense of cordiality/to tear into each other
撕破臉皮	撕破脸皮	sī pò liǎn pí	see 撕破臉|撕破脸[sī pò liǎn]
撞臉	撞脸	zhuàng liǎn	(coll.) to look alike/to be a spitting image of
撲臉兒	扑脸儿	pū liǎn r5	strikes you in the face
斑臉海番鴨	斑脸海番鸭	bān liǎn hǎi fān yā	(bird species of China) white-winged scoter (Melanitta deglandi)
有臉	有脸	yǒu liǎn	lit. having face/to have prestige/to command respect/to have the nerve (e.g. to ask sth outrageous)/to have the gall/not ashamed to
板臉	板脸	bǎn liǎn	to put on a straight, stern or blank face/to put on a poker face
桃腮粉臉	桃腮粉脸	táo sāi fěn liǎn	rosy-cheeked (idiom)
棕臉鶲鶯	棕脸鹟莺	zōng liǎn wēng yīng	(bird species of China) rufous-faced warbler (Abroscopus albogularis)
正臉	正脸	zhèng liǎn	a person's face as seen from the front
死不要臉	死不要脸	sǐ bù yào liǎn	to know no shame/to be totally shameless
死皮賴臉	死皮赖脸	sǐ pí lài liǎn	brazen faced (idiom); shameless
沒有臉皮	没有脸皮	méi yǒu liǎn pí	ashamed/embarrassed/not having the face (to meet people)/not daring (out of shame)
沒臉	没脸	méi liǎn	ashamed/embarrassed/not having the face (to meet people)/not daring (out of shame)
沒臉沒皮	没脸没皮	méi liǎn méi pí	shameless/brazen
沒頭沒臉	没头没脸	méi tóu méi liǎn	lit. without head, without face (idiom)/fig. frenzily/haphazardly
洗臉	洗脸	xǐ liǎn	to wash your face
洗臉盆	洗脸盆	xǐ liǎn pén	washbowl/basin for washing hands and face
洗臉盤	洗脸盘	xǐ liǎn pán	a hand basin
洗臉臺	洗脸台	xǐ liǎn tái	commode/dressing table/sink
滿臉	满脸	mǎn liǎn	across one's whole face
滿臉生花	满脸生花	mǎn liǎn shēng huā	all smiles/beaming from ear to ear
滿臉風塵	满脸风尘	mǎn liǎn fēng chén	lit. with a face full of dust/showing the hardships of travel (idiom)
灰臉鵟鷹	灰脸𫛭鹰	huī liǎn kuáng yīng	(bird species of China) grey-faced buzzard (Butastur indicus)
灰臉鶲鶯	灰脸鹟莺	huī liǎn wēng yīng	(bird species of China) grey-cheeked warbler (Seicercus poliogenys)
灰頭土臉	灰头土脸	huī tóu tǔ liǎn	head and face filthy with grime (idiom)/covered in dirt/dejected and depressed
熱臉貼冷屁股	热脸贴冷屁股	rè liǎn tiē lěng pì gu	to show warm feelings but meet with cold rebuke (idiom)/to be snubbed despite showing good intentions
瓜子臉	瓜子脸	guā zǐ liǎn	oval face
甩臉子	甩脸子	shuǎi liǎn zi	to grimace with displeasure/to pull a long face
白臉	白脸	bái liǎn	white face/face painting in Beijing opera etc
白臉鳾	白脸䴓	bái liǎn shī	(bird species of China) Przevalski's nuthatch (Sitta przewalskii)
白臉鷺	白脸鹭	bái liǎn lù	(bird species of China) white-faced heron (Egretta novaehollandiae)
皮臉	皮脸	pí liǎn	naughty/cheeky/impudent/shameless
笑臉	笑脸	xiào liǎn	smiling face/smiley :) ☺/CL:副[fù]
笑臉兒	笑脸儿	xiào liǎn r5	erhua variant of 笑臉|笑脸[xiào liǎn]
笑臉相迎	笑脸相迎	xiào liǎn xiāng yíng	to welcome sb with a smiling face (idiom)
紅臉	红脸	hóng liǎn	to blush/to turn red
紅臉鸕鶿	红脸鸬鹚	hóng liǎn lú cí	(bird species of China) red-faced cormorant (Phalacrocorax urile)
繃著臉	绷着脸	běng zhe liǎn	to have a taut face/to pull a long face/to look displeased
羞羞臉	羞羞脸	xiū xiū liǎn	(jocularly) shame on you!
羞臉	羞脸	xiū liǎn	to blush with shame
翻臉	翻脸	fān liǎn	to fall out with sb/to become hostile
翻臉不認人	翻脸不认人	fān liǎn bù rèn rén	to fall out with sb and become hostile
老臉	老脸	lǎo liǎn	self-respect of old person/face/thick-skinned (i.e. impervious to criticism)/brazen
老著臉	老着脸	lǎo zhe liǎn	shamelessly
一臉茫然	一脸茫然	yī liǎn máng rán	puzzled/bewildered
臉厚	脸厚	liǎn hòu	thick-skinned/brazen
臉型	脸型	liǎn xíng	shape of face/physiognomy
臉基尼	脸基尼	liǎn jī ní	facekini
臉大	脸大	liǎn dà	bold/unafraid
臉孔	脸孔	liǎn kǒng	face
臉巴子	脸巴子	liǎn bā zi	cheek
臉形	脸形	liǎn xíng	variant of 臉型|脸型, shape of face/physiognomy
臉書	脸书	Liǎn shū	Facebook
臉皮	脸皮	liǎn pí	face/cheek
臉皮厚	脸皮厚	liǎn pí hòu	brazen
臉皮嫩	脸皮嫩	liǎn pí nèn	bashful/shy
臉皮薄	脸皮薄	liǎn pí báo	thin-skinned/sensitive
臉盆	脸盆	liǎn pén	washbowl/basin for washing hands and face/CL:個|个[gè]
臉盤兒	脸盘儿	liǎn pán r5	face/contour of face
臉盲症	脸盲症	liǎn máng zhèng	prosopagnosia/face blindness
臉相	脸相	liǎn xiàng	complexion/looks/appearance of one's face
臉紅	脸红	liǎn hóng	to blush/to redden (with shame, indignation etc)
臉紅筋暴	脸红筋暴	liǎn hóng jīn bào	red and tense with anger (idiom)
臉紅筋漲	脸红筋涨	liǎn hóng jīn zhǎng	red and tense with anger (idiom)
臉紅脖子粗	脸红脖子粗	liǎn hóng bó zi cū	red in the face/extremely angry
臉罩	脸罩	liǎn zhào	visor
臉膛	脸膛	liǎn táng	facial contour/facial shape
臉色	脸色	liǎn sè	complexion/look
臉薄	脸薄	liǎn báo	bashful/shy
臉蛋	脸蛋	liǎn dàn	cheek/face
臉蛋兒	脸蛋儿	liǎn dàn r5	cheek/face (often of child)
臉蛋子	脸蛋子	liǎn dàn zi	cheek/face
臉譜	脸谱	Liǎn pǔ	Facebook
臉譜	脸谱	liǎn pǔ	types of facial makeup in operas
