臟	脏	zàng	viscera/(anatomy) organ
五臟六腑	五脏六腑	wǔ zàng liù fǔ	five viscera and six bowels (TCM)
內臟	内脏	nèi zàng	internal organs/viscera
心臟	心脏	xīn zàng	heart/CL:顆|颗[kē],個|个[gè]
心臟搭橋手術	心脏搭桥手术	xīn zàng dā qiáo shǒu shù	coronary bypass operation
心臟收縮壓	心脏收缩压	xīn zàng shōu suō yā	systolic blood pressure
心臟疾患	心脏疾患	xīn zàng jí huàn	heart disease
心臟病	心脏病	xīn zàng bìng	heart disease
心臟移殖	心脏移殖	xīn zàng yí zhí	heart transplant
心臟舒張壓	心脏舒张压	xīn zàng shū zhāng yā	diastolic blood pressure
心臟雜音	心脏杂音	xīn zàng zá yīn	heart murmur
肝臟	肝脏	gān zàng	liver
胰臟	胰脏	yí zàng	pancreas
胰臟炎	胰脏炎	yí zàng yán	pancreatitis
脾臟	脾脏	pí zàng	spleen
腎臟	肾脏	shèn zàng	kidney
五臟	五脏	wǔ zàng	five viscera of TCM, namely: heart 心[xīn], liver 肝[gān], spleen 脾[pí], lungs 肺[fèi] and kidneys 腎|肾[shèn]
臟器	脏器	zàng qì	internal organs
臟腑	脏腑	zàng fǔ	inner organs
臟躁	脏躁	zàng zào	hysteria
麻雀雖小，五臟俱全	麻雀虽小，五脏俱全	má què suī xiǎo , wǔ zàng jù quán	The sparrow may be small but all its vital organs are there (idiom)./small but complete in every detail
