蘆	芦	lú	rush/reed/Phragmites communis
依葫蘆畫瓢	依葫芦画瓢	yī hú lu huà piáo	lit. to draw a dipper with a gourd as one's model (idiom)/fig. to follow the existing pattern without modification
冰糖葫蘆	冰糖葫芦	bīng táng hú lu	tanghulu/candied fruits on bamboo skewers dipped in sugar syrup, a common Chinese snack
寶葫蘆	宝葫芦	bǎo hú lu	magic gourd, granting your every wish
寶葫蘆的秘密	宝葫芦的秘密	Bǎo hú lu de Mì mì	Secret of the Magic Gourd (1958), prize-winning children's fairy tale by Zhang Tianyi 張天翼|张天翼[Zhāng Tiān yì]
悶葫蘆	闷葫芦	mèn hú lu	lit. closed gourd/fig. enigma/complete mystery/taciturn person
手扳葫蘆	手扳葫芦	shǒu bān hú lu	lever hoist pulley
手拉葫蘆	手拉葫芦	shǒu lā hú lu	hand chain pulley block
手板葫蘆	手板葫芦	shǒu bǎn hú lu	lever pulley block
按下葫蘆浮起瓢	按下葫芦浮起瓢	àn xià hú lú fú qǐ piáo	solve one problem only to find another cropping up
提壺蘆	提壶芦	tí hú lú	pelican/same as 鵜鶘|鹈鹕
提葫蘆	提葫芦	tí hú lú	pelican/same as 鵜鶘|鹈鹕
氣動葫蘆	气动葫芦	qì dòng hú lu	pneumatic hoist pulley
照葫蘆畫瓢	照葫芦画瓢	zhào hú lu huà piáo	lit. to draw a dipper with a gourd as a model (idiom)/fig. to copy slavishly
糖葫蘆	糖葫芦	táng hú lu	sugar-coated Chinese hawthorn or other fruit on a stick/tanghulu
胡蘆巴	胡芦巴	hú lú bā	fenugreek
葫蘆	葫芦	hú lu	calabash or bottle gourd (Lagenaria siceraria)/hoist/generic term for block and tackle (or parts thereof)/muddled/(poker) full house
葫蘆島	葫芦岛	Hú lú dǎo	Huludao prefecture-level city in Liaoning province 遼寧省|辽宁省 in northeast China
葫蘆島市	葫芦岛市	Hú lú dǎo shì	Huludao prefecture-level city in Liaoning province 遼寧省|辽宁省 in northeast China
葫蘆巴	葫芦巴	hú lú bā	fenugreek leaves/methi leaves
葫蘆絲	葫芦丝	hú lú sī	hulusi, aka cucurbit flute (a kind of free reed wind instrument)
葫蘆裡賣的是什麼藥	葫芦里卖的是什么药	hú lu lǐ mài de shì shén me yào	what has (he) got up (his) sleeve?/what's going on?
依樣畫葫蘆	依样画葫芦	yī yàng huà hú lu	lit. to draw a gourd from the model (idiom)/fig. to copy sth mechanically without attempt at originality
蘆山	芦山	Lú shān	Lushan county in Ya'an 雅安[Yǎ ān], Sichuan
蘆山縣	芦山县	Lú shān xiàn	Lushan county in Ya'an 雅安[Yǎ ān], Sichuan
蘆席	芦席	lú xí	reed mat
蘆柴棒	芦柴棒	lú chái bàng	reed stem/(fig.) extremely skinny person
蘆根	芦根	lú gēn	reed rhizome (used in TCM)
蘆洞	芦洞	Lú dòng	Rodong or Nodong, series of North Korean medium-range missiles
蘆洲	芦洲	Lú zhōu	Luzhou or Luchou city in New Taipei City 新北市[Xīn běi shì], Taiwan
蘆洲市	芦洲市	Lú zhōu shì	Luzhou or Luchou city in New Taipei City 新北市[Xīn běi shì], Taiwan
蘆淞區	芦淞区	Lú sōng qū	Lusong district of Zhuzhou city 株洲市, Hunan
蘆溝橋	芦沟桥	Lú gōu Qiáo	Lugou Bridge or Marco Polo Bridge in southwest of Beijing, the scene of a conflict that marked the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
蘆溝橋事變	芦沟桥事变	Lú gōu Qiáo Shì biàn	Marco Polo Bridge Incident of 7th July 1937, regarded as the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
蘆溪	芦溪	Lú xī	Luxi county in Pingxiang 萍鄉|萍乡, Jiangxi
蘆溪縣	芦溪县	Lú xī xiàn	Luxi county in Pingxiang 萍鄉|萍乡, Jiangxi
蘆竹	芦竹	Lú zhú	Luzhu or Luchu township in Taoyuan county 桃園縣|桃园县[Táo yuán xiàn], north Taiwan
蘆竹鄉	芦竹乡	Lú zhú xiāng	Luzhu or Luchu township in Taoyuan county 桃園縣|桃园县[Táo yuán xiàn], north Taiwan
蘆笙	芦笙	lú shēng	reed-pipe wind instrument
蘆筍	芦笋	lú sǔn	asparagus
蘆管	芦管	lú guǎn	reed pipe
蘆花黃雀	芦花黄雀	lú huā huáng què	oriental greenfinch (Carduelis sinica)
蘆荻	芦荻	lú dí	reeds
蘆葦	芦苇	lú wěi	reed
蘆葦鶯	芦苇莺	lú wěi yīng	(bird species of China) Eurasian reed warbler (Acrocephalus scirpaceus)
蘆薈	芦荟	lú huì	aloe vera
蘆鰻	芦鳗	lú mán	variant of 鱸鰻|鲈鳗[lú mán], giant mottled eel (Anguilla marmorata)
西葫蘆	西葫芦	xī hú lu	zucchini
起重葫蘆	起重葫芦	qǐ chóng hú lu	hoist pulley
電動葫蘆	电动葫芦	diàn dòng hú lu	electric chain pulley block
