莖	茎	jīng	stalk/stem/CL:條|条[tiáo]
匍匐莖	匍匐茎	pú fú jīng	(botany) stolon
塊莖	块茎	kuài jīng	stem tuber
根狀莖	根状茎	gēn zhuàng jīng	rhizome (biol.)/root stock
根莖	根茎	gēn jīng	stolon/runner/rhizome/rhizoma
殘莖	残茎	cán jīng	stubble (the stems of plants after harvest)
玉莖	玉茎	yù jīng	(literary) penis
矮莖朱砂根	矮茎朱砂根	ǎi jīng zhū shā gēn	short-stem Ardisia (Ardisia brevicaulis)
簇莖石竹	簇茎石竹	cù jīng shí zhú	boreal carnation or northern pink/Dianthus repens (botany)
纏繞莖	缠绕茎	chán rào jīng	vine/twining stem
羽莖	羽茎	yǔ jīng	quill
包莖	包茎	bāo jīng	phimosis (medicine)
莖干	茎干	jīng gān	stem/stalk
陰莖	阴茎	yīn jīng	penis
陰莖套	阴茎套	yīn jīng tào	condom/CL:隻|只[zhī]
鱗莖	鳞茎	lín jīng	bulb
麻莖	麻茎	má jīng	hemp straw
