蔥	葱	cōng	scallion/green onion
大蔥	大葱	dà cōng	leek/Chinese onion
小蔥	小葱	xiǎo cōng	shallot/spring onion/CL:把[bǎ]
洋蔥	洋葱	yáng cōng	onion (Allium cepa)/bulb onion
洋蔥圈	洋葱圈	yáng cōng quān	onion ring
算哪根蔥	算哪根葱	suàn nǎ gēn cōng	who do (you) think (you) are?/who does (he, she etc) think (he, she) is?
細香蔥	细香葱	xì xiāng cōng	chive
倒栽蔥	倒栽葱	dào zāi cōng	to fall headlong/(fig.) to suffer an ignominious failure
蔥屬	葱属	cōng shǔ	genus Allium
蔥嶺	葱岭	Cōng lǐng	old name for the Pamir high plateau 帕米爾高原|帕米尔高原[Pà mǐ ěr Gāo yuán] on the border between Xinjiang and Tajikistan
蔥油餅	葱油饼	cōng yóu bǐng	scallion pancake
蔥綠	葱绿	cōng lǜ	verdant
蔥翠	葱翠	cōng cuì	fresh green
蔥花	葱花	cōng huā	chopped onion
蔥蔥	葱葱	cōng cōng	verdant and thick (foliage, grass etc)
蔥蘢	葱茏	cōng lóng	verdant and lush
蔥頭	葱头	cōng tóu	onion/Western round onion
蔥鬱	葱郁	cōng yù	verdant/lush green and full of life
蔥黃	葱黄	cōng huáng	yellow green
蝦夷蔥	虾夷葱	xiā yí cōng	chive
金蔥粉	金葱粉	jīn cōng fěn	glitter (sparkling material)
金蔥膠	金葱胶	jīn cōng jiāo	glitter glue
青蔥	青葱	qīng cōng	scallion/green onion/verdant/lush green
鬱鬱蔥蔥	郁郁葱葱	yù yù cōng cōng	verdant and lush (idiom)
