蓮	莲	lián	lotus
五蓮	五莲	Wǔ lián	Wulian county in Rizhao 日照[Rì zhào], Shandong
五蓮縣	五莲县	Wǔ lián xiàn	Wulian county in Rizhao 日照[Rì zhào], Shandong
以法蓮	以法莲	Yǐ fǎ lián	Ephraim (city)
啞巴吃黃蓮	哑巴吃黄莲	yǎ ba chī huáng lián	no choice but to suffer in silence (idiom)/also written 啞巴吃黃連|哑巴吃黄连/(often precedes 有苦說不出|有苦说不出[yǒu kǔ shuō bu chū])
夏士蓮	夏士莲	Xià shì lián	Hazeline, Unilever range of skin care products
妙法蓮華經	妙法莲华经	Miào fǎ Lián huá Jīng	The Lotus Sutra
旱金蓮	旱金莲	hàn jīn lián	garden nasturtium/Tropaeolum majus
易初蓮花	易初莲花	Yì chū Lián huā	Lotus (department store chain)
曼荷蓮女子學院	曼荷莲女子学院	Màn hé lián Nǚ zǐ Xué yuàn	see 曼荷蓮學院|曼荷莲学院[Màn hé lián Xué yuàn]
曼荷蓮學院	曼荷莲学院	Màn hé lián Xué yuàn	Mount Holyoke College (South Hadley, Massachusetts)
林憶蓮	林忆莲	Lín Yì lián	Sandy Lam (1966-), Hong Kong pop singer
榴蓮	榴莲	liú lián	durian fruit/Durio zibethinus
榴蓮族	榴莲族	liú lián zú	worker who is capable but unpleasant to deal with
榴蓮果	榴莲果	liú lián guǒ	durian fruit/also written 榴槤果|榴梿果
潘金蓮	潘金莲	Pān Jīn lián	Pan Jinlian (name lit. Golden Lotus), heroine of Ming dynasty vernacular novel Jinpingmei or the Golden Lotus 金瓶梅
瑪麗蓮·夢露	玛丽莲·梦露	Mǎ lì lián · Mèng lòu	Marilyn Monroe (1926-1962), US actress
白蓮	白莲	bái lián	white lotus (flower)/White Lotus society/same as 白蓮教|白莲教
白蓮教	白莲教	Bái lián jiào	White Lotus society
睡蓮	睡莲	shuì lián	water lily
紅蓮	红莲	hóng lián	red lotus
花蓮	花莲	Huā lián	Hualien, city and county on the east coast of Taiwan
花蓮市	花莲市	Huā lián shì	Hualien city on the east coast of Taiwan
花蓮縣	花莲县	Huā lián Xiàn	Hualien County on the east coast of Taiwan
並蒂蓮	并蒂莲	bìng dì lián	lit. twin lotus flowers on one stalk/fig. a devoted married couple
蓮子	莲子	lián zǐ	lotus seed
蓮宗	莲宗	Lián zōng	see 淨土宗|净土宗[Jìng tǔ zōng]
蓮湖	莲湖	Lián hú	Lianhu District of Xi’an 西安市[Xī ān Shì], Shaanxi
蓮湖區	莲湖区	Lián hú Qū	Lianhu District of Xi’an 西安市[Xī ān Shì], Shaanxi
蓮臺	莲台	lián tái	lotus seat
蓮花	莲花	lián huā	lotus flower (Nelumbo nucifera Gaertn, among others)/water-lily
蓮花白	莲花白	lián huā bái	(dialect) cabbage
蓮花縣	莲花县	Lián huā xiàn	Lianhua county in Pingxiang 萍鄉|萍乡, Jiangxi
蓮花落	莲花落	lián huā lào	genre of folk song with accompaniment of bamboo clappers
蓮蓉	莲蓉	lián róng	lotus seed paste
蓮蓉包	莲蓉包	lián róng bāo	lotus seed bun
蓮蓬	莲蓬	lián péng	lotus seed head
蓮藕	莲藕	lián ǒu	lotus root
蓮都	莲都	Lián dū	Liandu district of Lishui city 麗水市|丽水市[Lí shuǐ shì], Zhejiang
蓮都區	莲都区	Lián dū qū	Liandu district of Lishui city 麗水市|丽水市[Lí shuǐ shì], Zhejiang
蓮霧	莲雾	lián wù	wax apple (a reddish pear-shaped fruit)
西番蓮	西番莲	xī fān lián	passion flower
銀蓮花	银莲花	yín lián huā	anemone
阿蓮	阿莲	Ā lián	Alian District, a rural district in Kaohsiung, Taiwan
阿蓮區	阿莲区	Ā lián Qū	Alian District, a rural district in Kaohsiung, Taiwan
雪蓮	雪莲	xuě lián	snow lotus herb/Saussurea involucrata
馬蹄蓮	马蹄莲	mǎ tí lián	calla/calla lily
