蔔	卜	bo	see 蘿蔔|萝卜[luó bo]
大蘿蔔	大萝卜	dà luó bo	see 白蘿蔔|白萝卜[bái luó bo]
小紅蘿蔔	小红萝卜	xiǎo hóng luó bo	summer radish (the small red kind)
小蘿蔔頭	小萝卜头	xiǎo luó bo tou	(coll.) little kid
心裡美蘿蔔	心里美萝卜	xīn li měi luó bo	Chinese roseheart radish (shinrimei radish), green on the outside, purple-red on the inside, a favorite Beijing vegetable
櫻桃蘿蔔	樱桃萝卜	yīng táo luó bo	summer radish (the small red kind)
水蘿蔔	水萝卜	shuǐ luó bo	summer radish (the small red kind)
白蘿蔔	白萝卜	bái luó bo	white radish/daikon/Raphanus sativus longipinnatus
空心蘿蔔	空心萝卜	kōng xīn luó bo	useless person
紅蘿蔔	红萝卜	hóng luó bo	carrot/radish
胡蘿蔔	胡萝卜	hú luó bo	carrot
胡蘿蔔素	胡萝卜素	hú luó bo sù	carotene
花心大蘿蔔	花心大萝卜	huā xīn dà luó bo	(coll.) womanizer/skirt-chaser
一個蘿蔔一個坑	一个萝卜一个坑	yī gè luó bo yī gè kēng	lit. every turnip to its hole (idiom)/fig. each person has his own position/each to his own/horses for courses/every kettle has its lid
蘿蔔	萝卜	luó bo	radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bái luó bo]/CL:條|条[tiáo]
蘿蔔白菜，各有所愛	萝卜白菜，各有所爱	luó bo bái cài , gè yǒu suǒ ài	one man's meat is another man's poison (idiom)/to each his own
蘿蔔糕	萝卜糕	luó bo gāo	fried radish cake (a type of dim sum, commonly called "turnip cake")
蘿蔔青菜，各有所愛	萝卜青菜，各有所爱	luó bo qīng cài , gè yǒu suǒ ài	see 蘿蔔白菜，各有所愛|萝卜白菜，各有所爱[luó bo bái cài , gè yǒu suǒ ài]
野胡蘿蔔	野胡萝卜	yě hú luó bo	carrot (Daucus carota)
