蔭	荫	yìn	shade
嘉蔭縣	嘉荫县	Jiā yìn xiàn	Jiayin county in Yichun 伊春市[Yī chūn shì], Heilongjiang
封妻蔭子	封妻荫子	fēng qī yìn zǐ	(of a deserving official) to grant his wife a title and make his son heir to his titles
庇蔭	庇荫	bì yìn	to give shade (of a tree etc)/to shield
張蔭桓	张荫桓	Zhāng Yìn huán	Zhang Yinhuan (1837-1900), late Qing politician and senior Chinese diplomat
曾蔭權	曾荫权	Zēng Yìn quán	Sir Donald Tsang or Tsang Yam-Kuen (1944-)
林蔭大道	林荫大道	lín yìn dà dào	see 林陰大道|林阴大道[lín yīn dà dào]
林蔭路	林荫路	lín yìn lù	see 林蔭道|林荫道[lín yìn dào]
林蔭道	林荫道	lín yìn dào	boulevard/avenue/mall
槐蔭	槐荫	Huái yìn	Huaiyin district of Jinan city 濟南市|济南市[Jǐ nán shì], Shandong
槐蔭區	槐荫区	Huái yìn qū	Huaiyin district of Jinan city 濟南市|济南市[Jǐ nán shì], Shandong
樹蔭	树荫	shù yìn	shade of a tree
綠樹成蔭	绿树成荫	lǜ shù chéng yìn	(of an area) to have trees with shade-giving foliage/(of a road) to be tree-lined
綠蔭	绿荫	lǜ yìn	shade (of a tree)
嘉蔭	嘉荫	Jiā yìn	Jiayin county in Yichun 伊春市[Yī chūn shì], Heilongjiang
蔭涼	荫凉	yìn liáng	shady and cool
蔭蔽	荫蔽	yìn bì	to be shaded or concealed by foliage/to conceal/hidden/covert/shade (of a tree)
