蕪	芜	wú	overgrown with weeds
平蕪	平芜	píng wú	open grassland
榛蕪	榛芜	zhēn wú	wilderness/bushy and weedy/humble/inferior
繁蕪	繁芜	fán wú	wordy/verbose/flourishing and thriving
荒蕪	荒芜	huāng wú	left to return to unchecked growth/overgrown/grown wild
萊蕪	莱芜	Lái wú	Laiwu prefecture-level city in Shandong
萊蕪	莱芜	lái wú	field with dense growth of wild weeds
萊蕪市	莱芜市	Lái wú shì	Laiwu prefecture-level city in Shandong
去蕪存菁	去芜存菁	qù wú cún jīng	lit. to get rid of the weeds and keep the flowers/to separate the wheat from the chaff (idiom)
蕪俚	芜俚	wú lǐ	coarse and vulgar
蕪劣	芜劣	wú liè	muddled and inferior (of writing)
蕪湖	芜湖	Wú hú	Wuhu prefecture level city in Anhui
蕪湖市	芜湖市	Wú hú shì	Wuhu prefecture level city in Anhui
蕪湖縣	芜湖县	Wú hú xiàn	Wuhu county in Wuhu 蕪湖|芜湖[Wú hú], Anhui
蕪穢	芜秽	wú huì	to be overgrown with weeds
蕪累	芜累	wú lěi	mixed-up and superfluous
蕪繁	芜繁	wú fán	convoluted
蕪菁	芜菁	wú jīng	turnip
蕪菁甘藍	芜菁甘蓝	wú jīng gān lán	rutabaga (vegetable)
蕪詞	芜词	wú cí	superfluous words
蕪鄙	芜鄙	wú bǐ	muddled and limited (of writing)
蕪雜	芜杂	wú zá	miscellaneous/mixed and disorderly (of writing)/disordered and confusing/mixed-up and illogical
蕪駁	芜驳	wú bó	disorderly/mixed-up/confused
蘅蕪	蘅芜	héng wú	Asarum blumei (ginger plant)
蘼蕪	蘼芜	mí wú	Gracilaria confervoides (a fragrant herb)
