薑	姜	jiāng	ginger
仔薑	仔姜	zǐ jiāng	stem ginger
洋薑	洋姜	yáng jiāng	Jerusalem artichoke
生薑	生姜	shēng jiāng	fresh ginger
生薑絲	生姜丝	shēng jiāng sī	shredded ginger
乾薑	干姜	gān jiāng	dried ginger
薑堰	姜堰	Jiāng yàn	Jiangyan county level city in Taizhou 泰州[Tài zhōu], Jiangsu
薑堰市	姜堰市	Jiāng yàn shì	Jiangyan county level city in Taizhou 泰州[Tài zhōu], Jiangsu
薑是老的辣	姜是老的辣	jiāng shì lǎo de là	see 薑還是老的辣|姜还是老的辣[jiāng hái shì lǎo de là]
薑汁	姜汁	jiāng zhī	ginger ale
薑還是老的辣	姜还是老的辣	jiāng hái shì lǎo de là	ginger gets spicier as it gets older (idiom)/the older, the wiser
薑餅	姜饼	jiāng bǐng	gingerbread
薑黃	姜黄	jiāng huáng	turmeric
薑黃色	姜黄色	jiāng huáng sè	ginger (color)
高良薑	高良姜	gāo liáng jiāng	Thai ginger/lesser galangale (Kaempferia galanga)
黃薑	黄姜	huáng jiāng	turmeric
