藪	薮	sǒu	marsh/gathering place
棕藪鴝	棕薮鸲	zōng sǒu qú	(bird species of China) rufous-tailed scrub robin (Erythropygia galactotes)
榛藪	榛薮	zhēn sǒu	dense wood
淵藪	渊薮	yuān sǒu	(lit.) gathering place of fish or other creatures/(fig.) haunt/lair/nest/den/hotbed
灰胸藪鶥	灰胸薮鹛	huī xiōng sǒu méi	(bird species of China) Emei Shan liocichla (Liocichla omeiensis)
灰頭藪鶥	灰头薮鹛	huī tóu sǒu méi	(bird species of China) red-faced liocichla (Liocichla phoenicea)
盜藪	盗薮	dào sǒu	bandits' den
紅翅藪鶥	红翅薮鹛	hóng chì sǒu méi	(bird species of China) scarlet-faced liocichla (Liocichla ripponi)
林藪	林薮	lín sǒu	woods and marshes
藪澤	薮泽	sǒu zé	lakes and ponds
言談林藪	言谈林薮	yán tán lín sǒu	articulate in speech (idiom)/eloquent
逋逃藪	逋逃薮	bū táo sǒu	refuge for fugitives
黃痣藪鶥	黄痣薮鹛	huáng zhì sǒu méi	(bird species of China) Steere's liocichla (Liocichla steerii)
