藩	藩	fān	fence/hedge/screen/barrier/vassal state/Taiwan pr. [fán]
三藩叛亂	三藩叛乱	Sān fān pàn luàn	rebellion against the Qing of 1670s, pacified by Kangxi
三藩市	三藩市	Sān fān shì	San Francisco (California)
刁藩都	刁藩都	Diāo fān dōu	Diophantus of Alexandria (3rd century AD), Greek mathematician
刁藩都方程	刁藩都方程	Diāo fān dōu fāng chéng	Diophantine equation
廢藩置縣	废藩置县	fèi fān zhì xiàn	to abolish the feudal Han and introduce modern prefectures (refers to reorganization during Meiji Japan)
曾國藩	曾国藩	Zēng Guó fān	Zeng Guofan (1811-1872), Qing dynasty politician and military man
李振藩	李振藩	Lǐ Zhèn fān	Li Zhenfan (1940-1973), real name of the actor Bruce Lee 李小龍|李小龙[Lǐ Xiǎo lóng]
羊觸藩籬	羊触藩篱	yáng chù fān lí	lit. billy goat's horns caught in the fence (idiom from Book of Changes 易經|易经); impossible to advance or to retreat/without any way out of a dilemma/trapped/in an impossible situation
羝羊觸藩	羝羊触藩	dī yáng chù fān	lit. billy goat's horns caught in the fence (idiom from Book of Changes 易經|易经); impossible to advance or to retreat/without any way out of a dilemma/trapped/in an impossible situation
蔡東藩	蔡东藩	Cài Dōng fān	Cai Dongfan (1877-1945), historian and historical novelist
三藩之亂	三藩之乱	sān fān zhī luàn	Three feudatories rebellion against Qing 1673-1681 during the reign of Kangxi
藩國	藩国	fān guó	feudatory/vassal state
藩庫	藩库	fān kù	government repository/state provincial warehouse (esp. during Qing dynasty)
藩籬	藩篱	fān lí	hedge/fence/(fig.) barrier
藩鎮	藩镇	fān zhèn	lit. fence town/buffer region (between enemies)/Tang dynasty system of provincial administration under a provincial governor 節度使|节度使[jié dù shǐ]
