蘿	萝	luó	radish
大樹菠蘿	大树菠萝	dà shù bō luó	jackfruit
大蘿蔔	大萝卜	dà luó bo	see 白蘿蔔|白萝卜[bái luó bo]
小紅蘿蔔	小红萝卜	xiǎo hóng luó bo	summer radish (the small red kind)
小蘿蔔頭	小萝卜头	xiǎo luó bo tou	(coll.) little kid
心裡美蘿蔔	心里美萝卜	xīn li měi luó bo	Chinese roseheart radish (shinrimei radish), green on the outside, purple-red on the inside, a favorite Beijing vegetable
木菠蘿	木菠萝	mù bō luó	jackfruit/breadfruit/Artocarpus heterophyllus
櫻桃蘿蔔	樱桃萝卜	yīng táo luó bo	summer radish (the small red kind)
歐蒔蘿	欧莳萝	Ōu shí luó	cumin (Cuminum cyminum)
水蘿蔔	水萝卜	shuǐ luó bo	summer radish (the small red kind)
白蘿蔔	白萝卜	bái luó bo	white radish/daikon/Raphanus sativus longipinnatus
空心蘿蔔	空心萝卜	kōng xīn luó bo	useless person
紅蘿蔔	红萝卜	hóng luó bo	carrot/radish
胡蘿蔔	胡萝卜	hú luó bo	carrot
胡蘿蔔素	胡萝卜素	hú luó bo sù	carotene
花心大蘿蔔	花心大萝卜	huā xīn dà luó bo	(coll.) womanizer/skirt-chaser
菠蘿	菠萝	bō luó	pineapple
菠蘿蜜	菠萝蜜	bō luó mì	jackfruit
蒔蘿	莳萝	shí luó	dill (herb, Anethum graveolens)
蒔蘿籽	莳萝籽	shí luó zǐ	dill seed
一個蘿蔔一個坑	一个萝卜一个坑	yī gè luó bo yī gè kēng	lit. every turnip to its hole (idiom)/fig. each person has his own position/each to his own/horses for courses/every kettle has its lid
蘿北	萝北	Luó běi	Luobei county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
蘿北縣	萝北县	Luó běi xiàn	Luobei county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
蘿崗	萝岗	Luó gǎng	Luogang district of Guangzhou city 廣州市|广州市[Guǎng zhōu shì], Guangdong
蘿崗區	萝岗区	Luó gǎng qū	Luogang district of Guangzhou city 廣州市|广州市[Guǎng zhōu shì], Guangdong
蘿艻	萝艻	luó lè	old variant of 羅勒|罗勒[luó lè]
蘿莉	萝莉	luó lì	a Lolita (young, cute girl)
蘿莉控	萝莉控	luó lì kòng	lolicon or rorikon (Japanese loanword)/manga or anime genre depicting young girls in an erotic manner
蘿蔔	萝卜	luó bo	radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bái luó bo]/CL:條|条[tiáo]
蘿蔔白菜，各有所愛	萝卜白菜，各有所爱	luó bo bái cài , gè yǒu suǒ ài	one man's meat is another man's poison (idiom)/to each his own
蘿蔔糕	萝卜糕	luó bo gāo	fried radish cake (a type of dim sum, commonly called "turnip cake")
蘿蔔青菜，各有所愛	萝卜青菜，各有所爱	luó bo qīng cài , gè yǒu suǒ ài	see 蘿蔔白菜，各有所愛|萝卜白菜，各有所爱[luó bo bái cài , gè yǒu suǒ ài]
野胡蘿蔔	野胡萝卜	yě hú luó bo	carrot (Daucus carota)
