雖	虽	suī	although/even though
牡丹雖好，全仗綠葉扶持	牡丹虽好，全仗绿叶扶持	mǔ dan suī hǎo , quán zhàng lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡丹雖好，全憑綠葉扶持	牡丹虽好，全凭绿叶扶持	mǔ dan suī hǎo , quán píng lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡丹雖好，終須綠葉扶持	牡丹虽好，终须绿叶扶持	mǔ dan suī hǎo , zhōng xū lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
秤砣雖小壓千斤	秤砣虽小压千斤	chèng tuó suī xiǎo yā qiān jīn	although small, a steelyard weight may tip a hundred pounds (idiom)/apparently insignificant details can have a large impact/for want of a nail the battle was lost
話雖如此	话虽如此	huà suī rú cǐ	be that as it may
牡丹雖好，全仗綠葉扶	牡丹虽好，全仗绿叶扶	mǔ dan suī hǎo , quán zhàng lǜ yè fú	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
雖則	虽则	suī zé	nevertheless/although
雖敗猶榮	虽败犹荣	suī bài yóu róng	honorable even in defeat (idiom)
雖是	虽是	suī shì	although/even though/even if
雖死猶榮	虽死犹荣	suī sǐ yóu róng	lit. although dead, also honored; died a glorious death
雖死猶生	虽死犹生	suī sǐ yóu shēng	lit. although dead, as if still alive (idiom); still with us in spirit
雖然	虽然	suī rán	although/even though/even if
雖說	虽说	suī shuō	though/although
麻雀雖小，五臟俱全	麻雀虽小，五脏俱全	má què suī xiǎo , wǔ zàng jù quán	The sparrow may be small but all its vital organs are there (idiom)./small but complete in every detail
