蠟	蜡	là	candle/wax
吹燈拔蠟	吹灯拔蜡	chuī dēng bá là	lit. to blow out the lamp and put out the candle (idiom)/fig. to die/to bite the dust/to be over and done with
味同嚼蠟	味同嚼蜡	wèi tóng jiáo là	tastes as if one is chewing wax (idiom)/tasteless/insipid
嚼蠟	嚼蜡	jiáo là	insipid
坐蠟	坐蜡	zuò là	to be embarrassed/to be put in a difficult situation
打蠟	打蜡	dǎ là	to wax (a car, floor etc)
斑翅擬蠟嘴雀	斑翅拟蜡嘴雀	bān chì nǐ là zuǐ què	(bird species of China) spot-winged grosbeak (Mycerobas melanozanthos)
烴蠟	烃蜡	tīng là	hydrocarbon wax
白斑翅擬蠟嘴雀	白斑翅拟蜡嘴雀	bái bān chì nǐ là zuǐ què	(bird species of China) white-winged grosbeak (Mycerobas carnipes)
白蠟	白蜡	bái là	white wax from Chinese white wax bug (Ericerus pela)
白蠟樹	白蜡树	bái là shù	Chinese ash (Fraxinus chinensis), whose bark, flowers and leaves are used in TCM
白蠟蟲	白蜡虫	bái là chóng	Chinese white wax bug (Ericerus pela)
石油蠟	石油蜡	shí yóu là	petroleum wax
石蠟	石蜡	shí là	paraffin wax
耳蠟	耳蜡	ěr là	earwax/cerumen
蜂蠟	蜂蜡	fēng là	beeswax
蜜蠟	蜜蜡	mì là	beeswax
蟲白蠟	虫白蜡	chóng bái là	white wax from Chinese white wax bug (Ericerus pela)
蟲蠟	虫蜡	chóng là	white wax from Chinese white wax bug (Ericerus pela)
倒吊蠟燭	倒吊蜡烛	dào diào là zhú	Wrightia tinctoria (flowering plant in Apocynaceae family, common names dyer's oleander or pala indigo)
蠟像館	蜡像馆	là xiàng guǎn	waxworks/museum of waxwork figures
蠟坨	蜡坨	là tuó	lump of wax
蠟坨兒	蜡坨儿	là tuó r5	erhua variant of 蠟坨|蜡坨[là tuó]
蠟坨子	蜡坨子	là tuó zi	erhua variant of 蠟坨|蜡坨[là tuó]
蠟扦	蜡扦	là qiān	candlestick with a spike, onto which candles are impaled
蠟染	蜡染	là rǎn	batik (color printing on cloth using wax)
蠟梅	蜡梅	là méi	variant of 臘梅|腊梅[là méi]
蠟炬	蜡炬	là jù	(literary) candle
蠟燭	蜡烛	là zhú	candle/CL:根[gēn],支[zhī]
蠟燭不點不亮	蜡烛不点不亮	là zhú bù diǎn bù liàng	some people have to be pushed for them to take action
蠟燭兩頭燒	蜡烛两头烧	là zhú liǎng tóu shāo	to burn the candle at both ends (idiom)/to labor under a double burden
蠟療	蜡疗	là liáo	wax therapy (used to treat arthritis etc)
蠟筆	蜡笔	là bǐ	crayon
蠟筆小新	蜡笔小新	Là bǐ Xiǎo xīn	Crayon Shin-chan (クレヨンしんちゃん), Japanese manga and anime series popular in China
蠟紙	蜡纸	là zhǐ	wax paper/stencil paper
蠟臺	蜡台	là tái	candlestick/candle holder
蠟蟲	蜡虫	là chóng	Chinese white wax bug (Ericerus pela)
蠟質	蜡质	là zhì	waxiness
錫蠟	锡蜡	xī là	pewter (alloy of tin 錫|锡, lead 鉛|铅 and other metals)
髮蠟	发蜡	fà là	pomade
黃蠟	黄蜡	huáng là	beeswax
黃頸擬蠟嘴雀	黄颈拟蜡嘴雀	huáng jǐng nǐ là zuǐ què	(bird species of China) collared grosbeak (Mycerobas affinis)
黑尾蠟嘴雀	黑尾蜡嘴雀	hēi wěi là zuǐ què	(bird species of China) Chinese grosbeak (Eophona migratoria)
黑頭蠟嘴雀	黑头蜡嘴雀	hēi tóu là zuǐ què	(bird species of China) Japanese grosbeak (Eophona personata)
