蠅	蝇	yíng	fly/musca/CL:隻|只[zhī]
家蠅	家蝇	jiā yíng	house fly
捕蠅草	捕蝇草	bǔ yíng cǎo	Venus flytrap (Dionaea muscipula)
果蠅	果蝇	guǒ yíng	fruit fly
毒蠅傘	毒蝇伞	dú yíng sǎn	fly Amanita or fly agaric (Amanita muscaria)
沒頭蒼蠅	没头苍蝇	méi tóu cāng ying	see 無頭蒼蠅|无头苍蝇[wú tóu cāng ying]
無頭蒼蠅	无头苍蝇	wú tóu cāng ying	headless fly (a metaphor for sb who is rushing around frantically)
蒼蠅	苍蝇	cāng ying	housefly/CL:隻|只[zhī]
蒼蠅不叮無縫蛋	苍蝇不叮无缝蛋	cāng ying bù dīng wú fèng dàn	lit. flies do not attack an intact egg (idiom)/fig. no smoke without a fire
蒼蠅座	苍蝇座	Cāng ying zuò	Musca (constellation)
蒼蠅拍	苍蝇拍	cāng ying pāi	flyswatter
蒼蠅老虎	苍蝇老虎	cāng ying lǎo hǔ	(coll.) jumping spider
如蠅逐臭	如蝇逐臭	rú yíng zhú chòu	like flies pursuing a stink (idiom); the mob chases the rich and powerful/the crowd runs after trash
蠅子	蝇子	yíng zi	housefly
蠅虎	蝇虎	yíng hǔ	jumping spider (family Salticidae)
