螢	萤	yíng	firefly/glow-worm
流螢	流萤	liú yíng	firefly
聚螢映雪	聚萤映雪	jù yíng yìng xuě	lit. to collect fireflies and study by their light (idiom); fig. ambitious student from impoverished background/burning the midnight oil
崔螢	崔萤	Cuī Yíng	Choi Yeong (1316-1388), general of Korean Goryeo dynasty
螢光	萤光	yíng guāng	Taiwan variant of 熒光|荧光[yíng guāng]
螢光燈	萤光灯	yíng guāng dēng	Taiwan variant of 熒光燈|荧光灯[yíng guāng dēng]
螢光綠	萤光绿	yíng guāng lǜ	bright green/chartreuse
螢幕	萤幕	yíng mù	screen (of a TV, computer etc) (Tw)
螢幕保護程式	萤幕保护程式	yíng mù bǎo hù chéng shì	screensaver (Tw)
螢幕保護裝置	萤幕保护装置	yíng mù bǎo hù zhuāng zhì	screensaver (Tw)
螢火	萤火	yíng huǒ	light of firefly/fairy light
螢火蟲	萤火虫	yíng huǒ chóng	firefly/glowworm/lightning bug
螢焰	萤焰	yíng yàn	light of firefly/firefly
螢石	萤石	yíng shí	fluorite CaF2/fluorspar/fluor
觸控式螢幕	触控式萤幕	chù kòng shì yíng mù	touchscreen
觸控螢幕	触控萤幕	chù kòng yíng mù	touchscreen/touch panel
