褻	亵	xiè	obscene/disrespectful
淫詞褻語	淫词亵语	yín cí xiè yǔ	dirty words/dirty talk
猥褻	猥亵	wěi xiè	obscene/indecent/to molest
猥褻性暴露	猥亵性暴露	wěi xiè xìng bào lù	indecent exposure/flashing
淫褻	淫亵	yín xiè	obscene
褻慢	亵慢	xiè màn	irreverent/slighting
褻昵	亵昵	xiè nì	familiar (i.e. rude)/irreverent
褻服	亵服	xiè fú	informal wear/home clothes (old)/women's underwear/lingerie
褻瀆	亵渎	xiè dú	to blaspheme/to profane
褻瀆神明	亵渎神明	xiè dú shén míng	to blaspheme/to commit sacrilege
褻黷	亵黩	xiè dú	to blaspheme/to profane
鄙褻	鄙亵	bǐ xiè	vulgar/disrespectful
