覷	觑	qù	to spy/watch for
相覷	相觑	xiāng qù	to look at each other
小覷	小觑	xiǎo qù	to despise/to have contempt for
覷合	觑合	qù hé	to squint
覷忽	觑忽	qù hu	variant of 覷糊|觑糊[qù hu]
覷機會	觑机会	qù jī huì	to watch for an opportunity
覷步	觑步	qù bù	to spy on
覷窺	觑窥	qù kuī	to peep at
覷糊	觑糊	qù hu	to squint
覷著眼	觑着眼	qù zhe yǎn	to narrow one's eyes and gaze at something with great attention
覷視	觑视	qù shì	to look/to gaze
覷覷眼	觑觑眼	qù qù yǎn	myopia/nearsightedness/shortsightedness
面面相覷	面面相觑	miàn miàn xiāng qù	to look at each other in dismay (idiom)
