訟	讼	sòng	litigation
包攬詞訟	包揽词讼	bāo lǎn cí sòng	to canvas for lawsuits (idiom); to practice chicanery
在訴訟期間	在诉讼期间	zài sù sòng qī jiān	pendente lite/during litigation
民事訴訟	民事诉讼	mín shì sù sòng	common plea/civil appeal (as opposed to criminal case)
涉訟	涉讼	shè sòng	to be involved in a lawsuit
爭訟	争讼	zhēng sòng	dispute involving litigation/legal dispute
聚訟紛紜	聚讼纷纭	jù sòng fēn yún	(of a body of people) to offer all kinds of different opinions (idiom)/to argue endlessly
聽訟	听讼	tīng sòng	to hear litigation (in a law court)/to hear a case
刑事訴訟法	刑事诉讼法	xíng shì sù sòng fǎ	criminal procedure
訟案	讼案	sòng àn	lawsuit
訴訟	诉讼	sù sòng	lawsuit
訴訟中	诉讼中	sù sòng zhōng	pendente lite/during litigation
訴訟法	诉讼法	sù sòng fǎ	procedural law
詞訟	词讼	cí sòng	lawsuit/legal case
詞訟費	词讼费	cí sòng fèi	legal fees/costs (of a lawsuit)
諍訟	诤讼	zhèng sòng	to contest a lawsuit
酗訟	酗讼	xù sòng	to be drunk and rowdy
