訥	讷	nè	to speak slowly/inarticulate
口訥	口讷	kǒu nè	(literary) inarticulate
基希訥烏	基希讷乌	Jī xī nè wū	Chişinău or Chisinau, capital of Moldova
木訥	木讷	mù nè	wooden and slow of speech/slow-speeched/inarticulate/unsophisticated
木訥寡言	木讷寡言	mù nè guǎ yán	honest and unaffected but not talkative (idiom)
木訥老人	木讷老人	mù nè lǎo rén	ungraduated ruler/straight edge
烏訥楚	乌讷楚	Wū nè chǔ	Uxin or Wushen banner in southwest Ordos prefecture 鄂爾多斯|鄂尔多斯[È ěr duō sī], Inner Mongolia
羅訥河	罗讷河	Luó nè Hé	Rhone River, France
剛毅木訥	刚毅木讷	gāng yì mù nè	resolute and taciturn (idiom)
訥河	讷河	Nè hé	Nehe county level city in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
訥河市	讷河市	Nè hé shì	Nehe county level city in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
訥澀	讷涩	nè sè	clumsy in speech/tongue tied
訥訥	讷讷	nè nè	(of speech) indistinct/mumbling/hesitating
迂訥	迂讷	yū nè	overcautious/conservative and dull in conversation
