訴	诉	sù	to complain/to sue/to tell
上訴法院	上诉法院	shàng sù fǎ yuàn	appeals court
互訴衷腸	互诉衷肠	hū sù zhōng cháng	to confide in each other (idiom)
傾訴	倾诉	qīng sù	to say everything (that is on one's mind)
公訴	公诉	gōng sù	public charges (law)
公訴人	公诉人	gōng sù rén	district attorney/public prosecutor/procurator
分訴	分诉	fēn sù	to narrate/to explain/to justify oneself
刑事訴訟法	刑事诉讼法	xíng shì sù sòng fǎ	criminal procedure
刑訴法	刑诉法	xíng sù fǎ	criminal procedure/abbr. for 刑事訴訟法|刑事诉讼法
勝訴	胜诉	shèng sù	to win a court case
反訴	反诉	fǎn sù	counterclaim/countercharge (law)
反訴狀	反诉状	fǎn sù zhuàng	counterclaim
吐訴	吐诉	tǔ sù	to pour forth (one's opinions)
告訴	告诉	gào sù	to press charges/to file a complaint
告訴	告诉	gào su	to tell/to inform/to let know
哭訴	哭诉	kū sù	to lament/to complain tearfully/to wail accusingly
在訴訟期間	在诉讼期间	zài sù sòng qī jiān	pendente lite/during litigation
如泣如訴	如泣如诉	rú qì rú sù	lit. as if weeping and complaining (idiom)/fig. mournful (music or singing)
應訴	应诉	yìng sù	(of a defendant) to respond to a charge/to defend oneself
投訴	投诉	tóu sù	complaint/to complain/to register a complaint (esp. as a customer)
抗訴	抗诉	kàng sù	to protest against a verdict/to lodge an appeal
控訴	控诉	kòng sù	to accuse/to denounce/to make a complaint against/denunciation
提起公訴	提起公诉	tí qǐ gōng sù	to raise a charge/to sue/to institute proceedings
撤訴	撤诉	chè sù	to drop a lawsuit
敗訴	败诉	bài sù	lose a lawsuit
民事訴訟	民事诉讼	mín shì sù sòng	common plea/civil appeal (as opposed to criminal case)
申訴	申诉	shēn sù	to file a complaint/to appeal (to an authority, a higher court of justice etc)/complaint/appeal
申訴書	申诉书	shēn sù shū	written appeal
自訴	自诉	zì sù	private prosecution (law)/(of a patient) to describe (one's symptoms)
行銷訴求	行销诉求	xíng xiāo sù qiú	marketing message
被上訴人	被上诉人	bèi shàng sù rén	appellee (side that won in trial court, whose victory is being appealed by losing side)
上訴	上诉	shàng sù	to appeal (a judicial case)/appeal
訴冤	诉冤	sù yuān	to complain/to vent one's grievances
訴求	诉求	sù qiú	to appeal/to demand (an answer)/requirement/demand/claim/appeal/(marketing) message
訴狀	诉状	sù zhuàng	indictment/plea/complaint
訴苦	诉苦	sù kǔ	to grumble/to complain/grievance
訴訟	诉讼	sù sòng	lawsuit
訴訟中	诉讼中	sù sòng zhōng	pendente lite/during litigation
訴訟法	诉讼法	sù sòng fǎ	procedural law
訴說	诉说	sù shuō	to recount/to tell of/to relate/(fig.) (of a thing) to stand as testament to (some past history)
訴論	诉论	sù lùn	lawsuit/legal action/accusation
訴諸	诉诸	sù zhū	to appeal (to reason, sentiment, charity etc)/to resort to (a course of action)
訴諸公論	诉诸公论	sù zhū gōng lùn	to appeal to the public
訴述	诉述	sù shù	to narrate/to tell of
訴願	诉愿	sù yuàn	to appeal/an appeal (law)
起訴	起诉	qǐ sù	to sue/to bring a lawsuit against/to prosecute
起訴員	起诉员	qǐ sù yuán	prosecutor
起訴書	起诉书	qǐ sù shū	indictment (law)/statement of charges (law)
起訴者	起诉者	qǐ sù zhě	plaintiff
追訴	追诉	zhuī sù	to prosecute/given leave to sue
追訴時效	追诉时效	zhuī sù shí xiào	period during which one can prosecute or sue sb/within the statute of limitation
陳訴	陈诉	chén sù	to state/to assert
