訶	诃	hē	to scold
堂吉訶德	堂吉诃德	Táng jí hē dé	Don Quixote
契訶夫	契诃夫	Qì hē fū	Anton Pavlovich Chekhov (1860-1904), Russian writer famous for his short stories and plays
摩訶	摩诃	mó hē	transliteration of Sanskrit mahā, great
摩訶婆羅多	摩诃婆罗多	Mó hē pó luó duō	Mahābhārata, second great Indian epic after 羅摩衍那|罗摩衍那[Luó mó yǎn nà], possibly originally c. 4th century BC
唐吉訶德	唐吉诃德	Táng jí hē dé	Don Quixote/also written 堂吉訶德|堂吉诃德[Táng jí hē dé]
訶叱	诃叱	hē chì	variant of 呵斥[hē chì]
訶子	诃子	hē zǐ	chebulic myrobalan (Terminalia chebula)
訶斥	诃斥	hē chì	variant of 呵斥[hē chì]
訶譴	诃谴	hē qiǎn	variant of 呵譴|呵谴[hē qiǎn]
譴訶	谴诃	qiǎn hē	to reprimand
