註	注	zhù	to register/to annotate/note/comment
備註	备注	bèi zhù	remark/note
命中註定	命中注定	mìng zhōng zhù dìng	decreed by fate (idiom)/destined/fated
域名註冊	域名注册	yù míng zhù cè	domain name registration
威氏註音法	威氏注音法	Wēi shì zhù yīn fǎ	Wade-Giles transliteration scheme for Chinese
尾註	尾注	wěi zhù	endnote
心神專註	心神专注	xīn shén zhuān zhù	to concentrate one's attention/to be fully focused
批註	批注	pī zhù	to annotate/to add marginal comments on/criticism/marginalia
渾儀註	浑仪注	hún yí zhù	book by Han dynasty astronomer Zhang Heng
眷註	眷注	juàn zhù	to think fondly of sb
編註	编注	biān zhù	editor's note
偏註	偏注	piān zhù	to stress in a prejudiced way/to emphasize sth unduly
註冊	注册	zhù cè	to register/to enroll
註冊商標	注册商标	zhù cè shāng biāo	registered trademark
註定	注定	zhù dìng	to foreordain/to be bound to/to be destined to/to be doomed to/inevitably
註疏	注疏	zhù shū	commentary and subcommentary (of a book)
註腳	注脚	zhù jiǎo	footnote
註解	注解	zhù jiě	to annotate/annotation/comment/interpretation/to explain with notes/explanatory note
註銷	注销	zhù xiāo	to cancel/to write off
註音法	注音法	zhù yīn fǎ	phonetic transcription/system of representing spoken sounds
評註	评注	píng zhù	to annotate/annotation/commentary/remark
詞性標註	词性标注	cí xìng biāo zhù	part-of-speech tagging
詮註	诠注	quán zhù	notes and commentary/exegesis
說文解字註	说文解字注	Shuō wén Jiě zì Zhù	Commentary on Shuowen Jiezi (1815) by Duan Yucai 段玉裁[Duàn Yù cái]
附註	附注	fù zhù	note/annotation
