誇	夸	kuā	to boast/to exaggerate/to praise
浮誇	浮夸	fú kuā	to exaggerate/to be boastful/pompous/grandiose
王婆賣瓜，自賣自誇	王婆卖瓜，自卖自夸	wáng pó mài guā , zì mài zì kuā	every potter praises his own pot (idiom)/all one's geese are swans
老王賣瓜，自賣自誇	老王卖瓜，自卖自夸	Lǎo Wáng mài guā , zì mài zì kuā	every potter praises his own pot (idiom)/all one's geese are swans
自誇	自夸	zì kuā	to boast
虛誇	虚夸	xū kuā	to boast/to brag/boastful/exaggerative/pompous/bombastic
有寶何必人前誇	有宝何必人前夸	yǒu bǎo hé bì rén qián kuā	There is no need to boast about one's treasures. (idiom)
誇下海口	夸下海口	kuā xia hǎi kǒu	see 誇海口|夸海口[kuā hǎi kǒu]
誇休可爾症	夸休可尔症	kuā xiū kě ěr zhèng	kwashiorkor (medicine)
誇口	夸口	kuā kǒu	to boast
誇多鬥靡	夸多斗靡	kuā duō dòu mǐ	to compete to produce extravagant literary works (idiom)
誇大	夸大	kuā dà	to exaggerate
誇大之詞	夸大之词	kuā dà zhī cí	hyperbole/exaggeration
誇大其詞	夸大其词	kuā dà qí cí	to exaggerate
誇張	夸张	kuā zhāng	to exaggerate/overstated/exaggerated/hyperbole/(coll.) excessive/ridiculous/outrageous
誇海口	夸海口	kuā hǎi kǒu	to boast/to talk big
誇獎	夸奖	kuā jiǎng	to praise/to applaud/to compliment
誇稱	夸称	kuā chēng	to praise/to acclaim/to commend/to compliment
誇耀	夸耀	kuā yào	to brag about/to flaunt
誇誇其談	夸夸其谈	kuā kuā qí tán	to talk big/to sound off/bombastic/grandiloquent
誇贊	夸赞	kuā zàn	to praise/to speak highly of/to commend
