認	认	rèn	to recognize/to know/to admit
低頭認罪	低头认罪	dī tóu rèn zuì	to bow one's head in acknowledgment of guilt/to admit one's guilt
供認	供认	gòng rèn	to confess/confession
供認不諱	供认不讳	gòng rèn bù huì	to make a full confession/to plead guilty
優先認股權	优先认股权	yōu xiān rèn gǔ quán	preemptive right (in share issue)
元認知	元认知	yuán rèn zhī	metacognition
公認	公认	gōng rèn	publicly known (to be)/accepted (as)
六親不認	六亲不认	liù qīn bù rèn	not recognizing one's family (idiom); self-centered and not making any allowances for the needs of one's relatives
否認	否认	fǒu rèn	to declare to be untrue/to deny
國際公認	国际公认	guó jì gōng rèn	internationally recognized
失物認領	失物认领	shī wù rèn lǐng	lost and found
宣認	宣认	xuān rèn	public declaration
後設認知	后设认知	hòu shè rèn zhī	metacognition (Tw)
性別認同障礙	性别认同障碍	xìng bié rèn tóng zhàng ài	gender identity disorder (GID)/gender dysphoria
感性認識	感性认识	gǎn xìng rèn shi	perceptual awareness
承認	承认	chéng rèn	to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge
承認控罪	承认控罪	chéng rèn kòng zuì	guilty plea (law)
抽認卡	抽认卡	chōu rèn kǎ	flashcard
招認	招认	zhāo rèn	to confess
拜認	拜认	bài rèn	to formally accept sb as (one's adoptive mother, one's master etc)
指認	指认	zhǐ rèn	to identify
理性認識	理性认识	lǐ xìng rèn shi	cognition/rational knowledge
相認	相认	xiāng rèn	to know each other/to recognize/to identify/to acknowledge (an old relationship)
矢口否認	矢口否认	shǐ kǒu fǒu rèn	to deny flatly
確認	确认	què rèn	to confirm/to verify/confirmation
翻臉不認人	翻脸不认人	fān liǎn bù rèn rén	to fall out with sb and become hostile
自認	自认	zì rèn	to believe (sth in relation to oneself)/to regard oneself as/to acknowledge (sth in relation to oneself)/to resign oneself to
不承認主義	不承认主义	bù chéng rèn zhǔ yì	policy of non-recognition
認人	认人	rèn rén	to recognize people (of babies)/to be able to tell people apart
認人兒	认人儿	rèn rén r5	erhua variant of 認人|认人[rèn rén]
認作	认作	rèn zuò	to regard as/to view/to consider sth as/to treat as
認出	认出	rèn chū	recognition/to recognize
認可	认可	rèn kě	to approve/approval/acknowledgment/OK
認同	认同	rèn tóng	to approve of/to endorse/to acknowledge/to recognize/to identify oneself with
認命	认命	rèn mìng	to accept misfortunes as decreed by fate/to be resigned to sth
認字	认字	rèn zì	literate/knowing how to read
認定	认定	rèn dìng	to maintain (that sth is true)/to determine (a fact)/determination (of an amount)/of the firm opinion/to believe firmly/to set one's mind on/to identify with
認床	认床	rèn chuáng	to have difficulties sleeping in a bed other than one's own
認得	认得	rèn de	to recognize/to remember sth (or sb) on seeing it/to know
認明	认明	rèn míng	to identify/to authenticate
認栽	认栽	rèn zāi	to admit defeat
認死扣兒	认死扣儿	rèn sǐ kòu r5	stubborn
認死理	认死理	rèn sǐ lǐ	obstinate/opinionated
認死理兒	认死理儿	rèn sǐ lǐ r5	erhua variant of 認死理|认死理[rèn sǐ lǐ]
認清	认清	rèn qīng	to see clearly/to recognize/to realize
認準	认准	rèn zhǔn	to identify clearly/to make sure of/to believe firmly
認為	认为	rèn wéi	to believe/to think/to consider/to feel
認生	认生	rèn shēng	shy with strangers
認真	认真	rèn zhēn	conscientious/earnest/serious/to take seriously/to take to heart
認知	认知	rèn zhī	cognition/cognitive/understanding/perception/awareness/to be cognizant of/to recognize/to realize
認知失調	认知失调	rèn zhī shī tiáo	cognitive dissonance
認知心理學	认知心理学	rèn zhī xīn lǐ xué	cognitive psychology
認知神經心理學	认知神经心理学	rèn zhī shén jīng xīn lǐ xué	cognitive neuropsychology
認繳資本	认缴资本	rèn jiǎo zī běn	subscribed capital (finance)
認罪	认罪	rèn zuì	to admit guilt/to plead guilty
認罪協商	认罪协商	rèn zuì xié shāng	plea bargain
認罰	认罚	rèn fá	to accept punishment
認腳	认脚	rèn jiǎo	to know your right shoe from your left (colloquial)/to know which of two you want
認親	认亲	rèn qīn	to visit new in-laws after a marriage
認證	认证	rèn zhèng	to authenticate/to approve
認識	认识	rèn shi	to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition
認識不能	认识不能	rèn shi bù néng	agnosia
認識論	认识论	rèn shi lùn	epistemology (in philosophy, the theory of how we know things)
認賊作父	认贼作父	rèn zéi zuò fù	lit. to acknowledge the bandit as one's father (idiom); fig. a complete betrayal/to sell oneself to the enemy
認賠	认赔	rèn péi	to agree to pay compensation/to accept liability
認賬	认账	rèn zhàng	to own up to a fault/to admit the truth/to acknowledge a debt
認購	认购	rèn gòu	to undertake to purchase sth/to subscribe (to share issue)
認輸	认输	rèn shū	to concede/to admit defeat
認錯	认错	rèn cuò	to admit an error/to acknowledge one's mistake
認領	认领	rèn lǐng	to claim (as one's property)/to adopt (a child)/to accept (an illegitimate child as one's own)
認頭	认头	rèn tóu	to accept defeat/to recognize losing
認養	认养	rèn yǎng	to sponsor/to adopt (pledge to give sb or sth one's special attention or support)/to adopt (choose to raise a child or animal as one's own)
超額認	超额认	chāo é rèn	(a share issue is) oversubscribed
超額認購	超额认购	chāo é rèn gòu	(a share issue is) oversubscribed
辨認	辨认	biàn rèn	to recognize/to identify
追認	追认	zhuī rèn	to recognize sth after the event/posthumous recognition/to ratify/to endorse retroactively
道德認識	道德认识	dào dé rèn shi	moral cognition/ethical awareness
體認	体认	tǐ rèn	to realize/realization
默認	默认	mò rèn	to agree tacitly/tacit approval/default (setting)
