誦	诵	sòng	to read aloud/to recite
吟誦	吟诵	yín sòng	to read aloud/to recite rhythmically/to chant/to intone (esp. poems in rhythm)
告誦	告诵	gào sòng	to tell/to inform
弦誦不綴	弦诵不缀	xián sòng bù chuò	variant of 弦誦不輟|弦诵不辍[xián sòng bù chuò]
弦誦不輟	弦诵不辍	xián sòng bù chuò	incessant playing of instruments and reciting of poems (idiom)
念誦	念诵	niàn sòng	to read out/to recite/to remember sb (while talking about sth else)
朗誦	朗诵	lǎng sòng	to read aloud with expression/to recite/to declaim
李誦	李诵	Lǐ Sòng	Li Song, personal name of eleventh Tang emperor Shunzong 順宗|顺宗[Shùn zōng] (761-806), reigned 805-806
聯誦	联诵	lián sòng	liaison (in phonetics) (loanword)
背誦	背诵	bèi sòng	to recite/to repeat from memory
傳誦	传诵	chuán sòng	widely known/on everyone's lips
誦經	诵经	sòng jīng	to chant the sutras
誦讀	诵读	sòng dú	to read aloud
誦讀困難症	诵读困难症	sòng dú kùn nan zhèng	dyslexia
默誦佛號	默诵佛号	mò sòng fó hào	to chant the names of Buddha
