謊	谎	huǎng	lies/to lie
善意的謊言	善意的谎言	shàn yì de huǎng yán	white lie
圓謊	圆谎	yuán huǎng	to patch up one's lie (when inconsistencies appear)/to cover (for sb who has lied)
小謊	小谎	xiǎo huǎng	fib
彌天大謊	弥天大谎	mí tiān dà huǎng	a pack of lies (idiom)
扯謊	扯谎	chě huǎng	to tell a lie
撒謊	撒谎	sā huǎng	to tell lies
測謊儀	测谎仪	cè huǎng yí	lie detector/polygraph
測謊器	测谎器	cè huǎng qì	lie detector/polygraph
滿口謊言	满口谎言	mǎn kǒu huǎng yán	to pour out lies
瞞天大謊	瞒天大谎	mán tiān dà huǎng	enormous lie/whopper
虛謊	虚谎	xū huǎng	false
要謊	要谎	yào huǎng	to ask an enormous price (as first negotiating step)
說謊	说谎	shuō huǎng	to lie/to tell an untruth
說謊者	说谎者	shuō huǎng zhě	liar
一派謊言	一派谎言	yī pài huǎng yán	a pack of lies
謊價	谎价	huǎng jià	inflated price/exorbitant price
謊報	谎报	huǎng bào	to lie
謊稱	谎称	huǎng chēng	to claim/to pretend
謊言	谎言	huǎng yán	lie
謊話	谎话	huǎng huà	lie
