謙	谦	qiān	modest
囊謙縣	囊谦县	Náng qiān xiàn	Nangqên county (Tibetan: nang chen rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
報謙	报谦	bào qiān	sorry
滿招損，謙受益	满招损，谦受益	mǎn zhāo sǔn , qiān shòu yì	(idiom) complacency leads to loss, modesty brings profit/pride comes before a fall
自謙	自谦	zì qiān	modest/self-deprecating
囊謙	囊谦	Náng qiān	Nangqên county (Tibetan: nang chen rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
謙卑	谦卑	qiān bēi	humble
謙和	谦和	qiān hé	meek/modest/amiable
謙恭	谦恭	qiān gōng	polite and modest
謙稱	谦称	qiān chēng	modest appellation
謙虛	谦虚	qiān xū	modest/self-effacing/to make modest remarks
謙詞	谦词	qiān cí	modest word (grammar)
謙語	谦语	qiān yǔ	humble expression
謙誠	谦诚	qiān chéng	modest and sincere/humble
謙讓	谦让	qiān ràng	to modestly decline
謙辭	谦辞	qiān cí	humble words/self-deprecatory expression/to modestly decline
謙遜	谦逊	qiān xùn	humble/modest/unpretentious/modesty
