護	护	hù	to protect
三北防護林	三北防护林	Sān běi Fáng hù lín	Green Wall of China, a massive afforestation program on the eastern margin of the Gobi Desert aimed at stopping the desert's expansion, started in 1978 and planned to be completed by 2050
中國國家環境保護總局	中国国家环境保护总局	Zhōng guó Guó jiā Huán jìng Bǎo hù Zǒng jú	PRC State Environmental Protection Administration (SEPA)
伊通自然保護區	伊通自然保护区	Yī tōng zì rán bǎo hù qū	Yitong nature reserve in Yitong Manchurian autonomous county 伊通滿族自治縣|伊通满族自治县, Siping, Jilin
佑護	佑护	yòu hù	blessing
保護	保护	bǎo hù	to protect/to defend/to safeguard/protection/CL:種|种[zhǒng]
保護主義	保护主义	bǎo hù zhǔ yì	protectionism
保護人	保护人	bǎo hù rén	guardian/carer/patron
保護傘	保护伞	bǎo hù sǎn	protective umbrella/fig. person affording protection (esp. corrupt)
保護劑	保护剂	bǎo hù jì	protective agent
保護區	保护区	bǎo hù qū	conservation district/CL:個|个[gè],片[piàn]
保護國	保护国	bǎo hù guó	protectorate
保護性	保护性	bǎo hù xìng	protective
保護模式	保护模式	bǎo hù mó shì	protected mode
保護神	保护神	bǎo hù shén	patron saint/guardian angel
保護者	保护者	bǎo hù zhě	protector
保護色	保护色	bǎo hù sè	protective coloration/camouflage
保駕護航	保驾护航	bǎo jià hù háng	(idiom) to safeguard (sth)/to protect (sth)
個人防護裝備	个人防护装备	gè rén fáng hù zhuāng bèi	individual protective equipment
偏護	偏护	piān hù	to protect a croney/to give unprincipled support
全國重點文物保護單位	全国重点文物保护单位	Quán guó Zhòng diǎn Wén wù Bǎo hù Dān wèi	Major Historical and Cultural Site Protected at the National Level
加護	加护	jiā hù	intensive care (in hospital)
化學武器防護	化学武器防护	huà xué wǔ qì fáng hù	chemical weapon defense
受法律保護權	受法律保护权	shòu fǎ lǜ bǎo hù quán	right to protection by law (law)
呵護	呵护	hē hù	to bless/to cherish/to take good care of/to conserve
回護	回护	huí hù	to stick up for a wrongdoer
國家一級保護	国家一级保护	Guó jiā yī jí bǎo hù	Grade One State protected (species)
圍護	围护	wéi hù	to protect from all sides
圍護結構	围护结构	wéi hù jié gòu	building envelope
外交庇護	外交庇护	wài jiāo bì hù	diplomatic asylum
守護	守护	shǒu hù	to guard/to protect
守護神	守护神	shǒu hù shén	protector God/patron saint
官官相護	官官相护	guān guān xiāng hù	officials shield one another (idiom); a cover-up
密碼保護	密码保护	mì mǎ bǎo hù	password protection
屏幕保護程序	屏幕保护程序	píng mù bǎo hù chéng xù	screensaver
庇護	庇护	bì hù	asylum/shelter/to shield/to put under protection/to take under one's wing
愛護	爱护	ài hù	to cherish/to treasure/to take care of/to love and protect
憲法監護委員會	宪法监护委员会	Xiàn fǎ Jiān hù Wěi yuán huì	Guardian Council, body of 12 appointed clerics which governs Iran
拉魯濕地國家自然保護區	拉鲁湿地国家自然保护区	Lā lǔ shī dì guó jiā zì rán bǎo hù qū	Lhalu Wetland National Nature Reserve in Lhasa
掩護	掩护	yǎn hù	to screen/to shield/to cover/protection/cover/CL:面[miàn]
擁護	拥护	yōng hù	to endorse/to support
擁護者	拥护者	yōng hù zhě	supporter (person)
攝護腺	摄护腺	shè hù xiàn	prostate/also written 前列腺
攝護腺腫大	摄护腺肿大	shè hù xiàn zhǒng dà	benign prostate hypertrophy/enlargement of prostate
放射防護	放射防护	fàng shè fáng hù	radiological defense
政治庇護	政治庇护	zhèng zhì bì hù	political asylum
救護	救护	jiù hù	to rescue/to administer first aid
救護人員	救护人员	jiù hù rén yuán	rescue worker
救護車	救护车	jiù hù chē	ambulance/CL:輛|辆[liàng]
散熱器護柵	散热器护栅	sàn rè qì hù shān	radiator grille
海岸護衛隊	海岸护卫队	hǎi àn hù wèi duì	coast guard
消費者保護	消费者保护	xiāo fèi zhě bǎo hù	consumer protection (law)
照護	照护	zhào hù	care/treatment (e.g. nursing care)/to look after
特別護理	特别护理	tè bié hù lǐ	intensive care
特殊護理	特殊护理	tè shū hù lǐ	special care/intensive nursing
特護	特护	tè hù	special nursing/intensive care/abbr. of 特殊護理|特殊护理
特護區	特护区	tè hù qū	intensive care department (of hospital)
環境保護	环境保护	huán jìng bǎo hù	environmental protection
環境保護部	环境保护部	Huán jìng Bǎo hù bù	(PRC) Ministry of Environmental Protection (MEP)
白水江自然保護區	白水江自然保护区	Bái shuǐ jiāng Zì rán Bǎo hù qū	Baishuijiang Nature Reserve, Gansu
監護	监护	jiān hù	to act as a guardian
監護人	监护人	jiān hù rén	guardian
監護權	监护权	jiān hù quán	custody (of a child)
看護	看护	kān hù	to nurse/to look after/to watch over/(old) hospital nurse
經營管理和維護	经营管理和维护	jīng yíng guǎn lǐ hé wéi hù	Operations Administration and Maintenance/OAM
綠壩·花季護航	绿坝·花季护航	Lǜ bà · huā jì hù háng	Green Dam Youth Escort, Internet content-control software (abbreviated to 綠壩|绿坝[Lǜ bà])
維護	维护	wéi hù	to defend/to safeguard/to protect/to uphold/to maintain
維護和平	维护和平	wéi hù hé píng	to uphold peace
臥龍大熊貓保護區	卧龙大熊猫保护区	wò lóng dà xióng māo bǎo hù qū	Wolong giant panda nature reserve in Wenchuan county, northwest Sichuan
臥龍自然保護區	卧龙自然保护区	Wò lóng zì rán bǎo hù qū	Wolong nature reserve in Wenchuan county, northwest Sichuan, home of the giant panda 大熊貓|大熊猫
自然保護區	自然保护区	zì rán bǎo hù qū	nature reserve
螢幕保護程式	萤幕保护程式	yíng mù bǎo hù chéng shì	screensaver (Tw)
螢幕保護裝置	萤幕保护装置	yíng mù bǎo hù zhuāng zhì	screensaver (Tw)
衛護	卫护	wèi hù	to guard/to protect
袒護	袒护	tǎn hù	to shield (a miscreant) from punishment, criticism etc/to take sb's side
觀護所	观护所	guān hù suǒ	probation office
一類保護動物	一类保护动物	yī lèi bǎo hù dòng wù	class A protected animal
護佑	护佑	hù yòu	to bless and protect/to protect
護國戰	护国战	Hù guó zhàn	National Protection War or Campaign to Defend the Republic (1915), a rebellion against the installation of Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi] as emperor
護國戰爭	护国战争	Hù guó Zhàn zhēng	National Protection War or Campaign to Defend the Republic (1915), a rebellion against the installation of Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi] as emperor
護國軍	护国军	Hù guó jūn	National Protection Army of 1915 (in rebellion against Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi])
護國運動	护国运动	Hù guó Yùn dòng	Campaign to Defend the Republic (1915) or National Protection War, a rebellion against the installation of Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi] as emperor
護城河	护城河	hù chéng hé	moat
護士	护士	hù shi	nurse/CL:個|个[gè]
護封	护封	hù fēng	dust jacket (of a book)/protective cover/document seal
護手盤	护手盘	hù shǒu pán	hand guard (e.g. on saber)
護手霜	护手霜	hù shǒu shuāng	hand cream/hand lotion
護法	护法	hù fǎ	to keep the law/to protect Buddha's teachings/protector of Buddhist law (i.e. temple donor)
護法戰爭	护法战争	hù fǎ zhàn zhēng	National protection war or Campaign to defend the republic (1915), a rebellion against the installation of Yuan Shikai as emperor
護法神	护法神	hù fǎ shén	protector deities of Buddhist law
護照	护照	hù zhào	passport/CL:本[běn],個|个[gè]
護犢子	护犊子	hù dú zi	(of a woman) to be fiercely protective of one's children
護理	护理	hù lǐ	to nurse/to tend and protect
護理學	护理学	hù lǐ xué	nursing
護生	护生	hù shēng	nursing student/(Buddhism) to preserve the lives of all living beings
護甲	护甲	hù jiǎ	armor/bulletproof vest
護目鏡	护目镜	hù mù jìng	goggles/protective glasses
護短	护短	hù duǎn	to defend sb (a relative, friend or oneself) despite knowing that that person is in the wrong
護老者	护老者	hù lǎo zhě	carer of elderly persons/aged care worker
護肘	护肘	hù zhǒu	elbow pad/elbow support
護脛	护胫	hù jìng	shin pad/shin guard
護膚	护肤	hù fū	skincare
護膝	护膝	hù xī	kneepad/knee brace
護航	护航	hù háng	a naval escort/to convoy
護航艦	护航舰	hù háng jiàn	escort vessel
護著	护着	hù zhe	to protect/to guard/to shield
護衛	护卫	hù wèi	to guard/to protect/bodyguard (for officials in ancient times)
護衛艇	护卫艇	hù wèi tǐng	escort vessel/corvette
護衛艦	护卫舰	hù wèi jiàn	corvette
護貝	护贝	hù bèi	(stationery) to laminate (Tw)
護貝機	护贝机	hù bèi jī	laminating machine/laminator
護貝膜	护贝膜	hù bèi mó	see 護貝膠膜|护贝胶膜[hù bèi jiāo mó]
護貝膠膜	护贝胶膜	hù bèi jiāo mó	(Tw) laminating film/laminating pouch
護身符	护身符	hù shēn fú	amulet/protective talisman/charm
護身符子	护身符子	hù shēn fú zi	amulet/protective talisman/charm
護軌	护轨	hù guǐ	(railway) guard rail
護送	护送	hù sòng	to escort/to accompany
護頸套	护颈套	hù jǐng tào	cervical collar
護髮乳	护发乳	hù fà rǔ	hair conditioner
護髮素	护发素	hù fà sù	hair conditioner
貿易保護主義	贸易保护主义	mào yì bǎo hù zhǔ yì	trade protectionism
輻射防護	辐射防护	fú shè fáng hù	radiation protection
辯護	辩护	biàn hù	to speak in defense of/to argue in favor of/to defend/to plead
辯護人	辩护人	biàn hù rén	defender/defending counsel
辯護士	辩护士	biàn hù shì	defender/apologist
