譽	誉	yù	to praise/to acclaim/reputation
交口稱譽	交口称誉	jiāo kǒu chēng yù	voices unanimous in praise (idiom); with an extensive public reputation
享譽	享誉	xiǎng yù	to be renowned
令譽	令誉	lìng yù	honorable reputation
信譽	信誉	xìn yù	prestige/distinction/reputation/trust
名譽	名誉	míng yù	fame/reputation/honor/honorary/emeritus (of retired professor)
名譽博士	名誉博士	míng yù bó shì	honorary doctorate/Doctor Honoris Causae
名譽博士學位	名誉博士学位	míng yù bó shì xué wèi	honorary doctorate/Doctor Honoris Causae
名譽學位	名誉学位	míng yù xué wèi	honorary degree/academic degree Honoris Causa
名譽掃地	名誉扫地	míng yù sǎo dì	to be thoroughly discredited/to fall into disrepute
商譽	商誉	shāng yù	reputation of a firm's product
恢復名譽	恢复名誉	huī fù míng yù	to rehabilitate/to regain one's good name
惠譽	惠誉	Huì yù	Fitch, credit rating agency
榮譽	荣誉	róng yù	honor/credit/glory/(honorable) reputation/honorary
榮譽博士	荣誉博士	róng yù bó shì	honorary doctorate/Doctor Honoris Causae
榮譽博士學位	荣誉博士学位	róng yù bó shì xué wèi	honorary doctorate/Doctor Honoris Causae
榮譽學位	荣誉学位	róng yù xué wèi	honorary degree/(U.K. etc) honours degree
榮譽教授	荣誉教授	róng yù jiào shòu	emeritus professor
榮譽軍人	荣誉军人	róng yù jūn rén	disabled soldier/serviceman wounded in action
沽名釣譽	沽名钓誉	gū míng diào yù	to angle for fame (idiom)/to fish for compliments
盛譽	盛誉	shèng yù	flourishing reputation
稱譽	称誉	chēng yù	to acclaim/to sing the praises of
美譽	美誉	měi yù	fame/good reputation/famous for sth
聲譽	声誉	shēng yù	reputation/fame
虛譽	虚誉	xū yù	imaginary reputation/empty fame
不名譽	不名誉	bù míng yù	disreputable/disgraceful
贊譽	赞誉	zàn yù	to praise/recognition
過譽	过誉	guò yù	to praise too much/I really don't deserve so much praise
雋譽	隽誉	jùn yù	high fame
面譽	面誉	miàn yù	to praise sb in his presence
