讚	赞	zàn	variant of 贊|赞[zàn]/to praise
按讚	按赞	àn zàn	to give sb a thumbs-up (on social media)
滿口稱讚	满口称赞	mǎn kǒu chēng zàn	to praise profusely
盛讚	盛赞	shèng zàn	to praise highly/an accolade
禮讚	礼赞	lǐ zàn	to praise/well done, bravo!
稱讚	称赞	chēng zàn	to praise/to acclaim/to commend/to compliment
絕讚	绝赞	jué zàn	amazing/awesome/ultimate
值得稱讚	值得称赞	zhí de chēng zàn	commendable
讚不絕口	赞不绝口	zàn bù jué kǒu	to praise without cease (idiom); praise sb to high heaven
讚同	赞同	zàn tóng	to approve of/to endorse/(vote) in favor
讚嘆	赞叹	zàn tàn	to exclaim in admiration
讚揚	赞扬	zàn yáng	to praise/to approve of/to show approval
讚美	赞美	zàn měi	to admire/to praise/to eulogize
讚許	赞许	zàn xǔ	to praise/to laud
讚賞	赞赏	zàn shǎng	to admire/to praise/to appreciate
讚頌	赞颂	zàn sòng	to bless/to praise
