誠	诚	chéng	sincere/authentic/really/truly
不誠實	不诚实	bù chéng shí	dishonest
坦誠	坦诚	tǎn chéng	candid/frank/plain dealing
坦誠相見	坦诚相见	tǎn chéng xiāng jiàn	to trust one another fully/to treat sb with sincerity
孟思誠	孟思诚	Mèng Sī chéng	Maeng Saseong (1360-1438), Korean politician of the Goryeo-Joseon transition, famous for his honesty and wisdom
實誠	实诚	shí chéng	sincere/honest
巧詐不如拙誠	巧诈不如拙诚	qiǎo zhà bù rú zhuō chéng	the unvarnished truth is better than a cunning ruse (idiom)/honesty is the best policy
心悅誠服	心悦诚服	xīn yuè chéng fú	to submit cheerfully/to accept willingly (idiom)
忠誠	忠诚	zhōng chéng	devoted/loyal/fidelity/loyalty
投誠	投诚	tóu chéng	to defect/to surrender/to capitulate
掬誠	掬诚	jū chéng	wholeheartedly/sincerely
摯誠	挚诚	zhì chéng	sincere
李嘉誠	李嘉诚	Lǐ Jiā chéng	Sir Li Ka-shing (1928-), Hong Kong businessman
李誠恩	李诚恩	Lǐ Chéng ēn	Euna Li, US-Korean woman journalist imprisoned as spy by North Korea in 2009
熱誠	热诚	rè chéng	devotion/fervor
真誠	真诚	zhēn chéng	true/sincere/genuine
竭誠	竭诚	jié chéng	wholeheartedly
精誠	精诚	jīng chéng	sincerity/absolute good faith
精誠所加，金石為開	精诚所加，金石为开	jīng chéng suǒ jiā , jīn shí wèi kāi	lit. sincerity splits open metal and metal (idiom); if you put your heart to it, you can break up metal and rocks/With a will, you can achieve anything.
精誠所至	精诚所至	jīng chéng suǒ zhì	with a will, you can achieve anything (idiom); cf 精誠所至，金石為開|精诚所至，金石为开[jīng chéng suǒ zhì , jīn shí wèi kāi]
精誠所至，金石為開	精诚所至，金石为开	jīng chéng suǒ zhì , jīn shí wèi kāi	lit. sincerity splits open metal and metal (idiom); if you put your heart to it, you can break up metal and rocks/With a will, you can achieve anything.
至誠	至诚	zhì chéng	sincere
虔誠	虔诚	qián chéng	pious/devout/sincere
親愛精誠	亲爱精诚	qīn ài jīng chéng	camaraderie
一秉虔誠	一秉虔诚	yī bǐng qián chéng	earnestly and sincerely (idiom); devoutly
誠信	诚信	chéng xìn	genuine/honest/in good faith/honesty/integrity
誠如	诚如	chéng rú	it is exactly as
誠實	诚实	chéng shí	honest/honesty/honorable/truthful
誠心	诚心	chéng xīn	sincerity
誠心實意	诚心实意	chéng xīn shí yì	earnestly and sincerely (idiom)/with all sincerity
誠心所願	诚心所愿	chéng xīn suǒ yuàn	so be it/amen
誠心正意	诚心正意	chéng xīn zhèng yì	see 誠心誠意|诚心诚意[chéng xīn chéng yì]
誠心誠意	诚心诚意	chéng xīn chéng yì	earnestly and sincerely (idiom); with all sincerity
誠惶誠恐	诚惶诚恐	chéng huáng chéng kǒng	in fear and trepidation (idiom); in reverence before your majesty (court formula of humility)
誠意	诚意	chéng yì	sincerity/good faith
誠懇	诚恳	chéng kěn	sincere/honest/cordial
誠摯	诚挚	chéng zhì	sincere/cordial
誠服	诚服	chéng fú	to be completely convinced/to fully accept another person's views
誠樸	诚朴	chéng pǔ	simple and sincere
誠然	诚然	chéng rán	indeed/true! (I agree with you)
誠篤	诚笃	chéng dǔ	honest/sincere and serious
誠聘	诚聘	chéng pìn	to seek to recruit/to invite job applications from
謙誠	谦诚	qiān chéng	modest and sincere/humble
赤誠	赤诚	chì chéng	utterly sincere/wholly devoted
赤誠相待	赤诚相待	chì chéng xiāng dài	to treat utterly sincerely/open and above board in dealing with sb
赤誠相見	赤诚相见	chì chéng xiàng jiàn	candidly sharing confidences
開誠	开诚	kāi chéng	to be honest/to show sincerity
開誠佈公	开诚布公	kāi chéng bù gōng	variant of 開誠布公|开诚布公[kāi chéng bù gōng]
開誠布公	开诚布公	kāi chéng bù gōng	lit. deal sincerely and fairly (idiom); frank and open-minded/plain speaking/Let's talk frankly and openly between ourselves./to put one's cards on the table
開誠相見	开诚相见	kāi chéng xiāng jiàn	candid and open (idiom)
非誠勿擾	非诚勿扰	fēi chéng wù rǎo	serious inquiries only
