誕	诞	dàn	birth/birthday/brag/boast/to increase
佛誕日	佛诞日	Fó dàn rì	Buddha's Birthday (8th day of the 4th Lunar month)
怪誕	怪诞	guài dàn	freak/weird
怪誕不經	怪诞不经	guài dàn bù jīng	uncanny/unbelievable/ridiculous/outrageous
放誕	放诞	fàng dàn	untrammeled/reckless/wanton
放誕不拘	放诞不拘	fàng dàn bù jū	wanton and unrestrained (idiom); dissolute
放誕不羈	放诞不羁	fàng dàn bù jī	wanton and unrestrained (idiom); dissolute
散誕	散诞	sǎn dàn	free and unfettered
毛誕節	毛诞节	Máo dàn jié	Mao Zedong’s birthday, December 26th
耶誕節	耶诞节	Yē dàn jié	Christmas (Tw)
聖誕	圣诞	Shèng dàn	Christmas/birthday of reigning Emperor/Confucius' birthday
聖誕前夕	圣诞前夕	Shèng dàn qián xī	Christmas eve
聖誕卡	圣诞卡	Shèng dàn kǎ	Christmas card
聖誕島	圣诞岛	Shèng dàn Dǎo	Christmas Island, Australia
聖誕快樂	圣诞快乐	Shèng dàn kuài lè	Merry Christmas
聖誕樹	圣诞树	Shèng dàn shù	Christmas tree
聖誕節	圣诞节	Shèng dàn jié	Christmas time/Christmas season/Christmas
聖誕紅	圣诞红	shèng dàn hóng	poinsettia (Euphorbia pulcherrima)
聖誕老人	圣诞老人	Shèng dàn Lǎo rén	Father Christmas/Santa Claus
聖誕花	圣诞花	shèng dàn huā	poinsettia (Euphorbia pulcherrima)
聖誕頌	圣诞颂	Shèng dàn Sòng	A Christmas Carol by Charles Dickens
荒誕	荒诞	huāng dàn	beyond belief/incredible/preposterous/fantastic
荒誕不經	荒诞不经	huāng dàn bù jīng	absurd/preposterous/ridiculous
荒誕無稽	荒诞无稽	huāng dàn wú jī	ridiculous/unbelievable/absurd
華誕	华诞	huá dàn	(formal) birthday/anniversary of the founding of an organization
任誕	任诞	rèn dàn	dissipated/unruly
誕生	诞生	dàn shēng	to be born
誕育	诞育	dàn yù	to give birth to/to give rise to
誕辰	诞辰	dàn chén	birthday
