誘	诱	yòu	to entice/to tempt
勸誘	劝诱	quàn yòu	to prevail upon/to coax
哄誘	哄诱	hǒng yòu	to coax/to induce
威逼利誘	威逼利诱	wēi bī lì yòu	to make threats and promises
引誘	引诱	yǐn yòu	to coerce (sb into doing sth bad)/to lure (into a trap)/to seduce
循循善誘	循循善诱	xún xún shàn yòu	to guide patiently and systematically (idiom)
招誘	招诱	zhāo yòu	to invite/to recruit/to attract/to entice
色誘	色诱	sè yòu	to seduce/to lead into sex
利誘	利诱	lì yòu	to use gain as a lure
誘人	诱人	yòu rén	attractive/alluring/captivating/to attract/to captivate
誘使	诱使	yòu shǐ	to lure into/to entrap/to trick into/to entice/to induce/to invite/to tempt
誘動	诱动	yòu dòng	to tempt/to seduce
誘因	诱因	yòu yīn	cause/triggering factor/incentive/inducement
誘姦	诱奸	yòu jiān	to seduce (into sex)
誘導	诱导	yòu dǎo	to induce/to encourage/to provide guidance/(medicine, chemistry) induction
誘導分娩	诱导分娩	yòu dǎo fēn miǎn	to induce labor (i.e. childbirth)/labor induction
誘惑	诱惑	yòu huò	to entice/to lure/to induce/to attract
誘拐	诱拐	yòu guǎi	to abduct/to kidnap
誘拐者	诱拐者	yòu guǎi zhě	abductor
誘捕	诱捕	yòu bǔ	to lure into a trap/to trap/to capture
誘掖	诱掖	yòu yè	to help and encourage
誘發	诱发	yòu fā	to induce/to cause/to elicit/to trigger
誘變劑	诱变剂	yòu biàn jì	mutagen
誘陷	诱陷	yòu xiàn	to lure into a trap
誘食劑	诱食剂	yòu shí jì	feeding attractant/phagostimulant
誘餌	诱饵	yòu ěr	bait
誘騙	诱骗	yòu piàn	to entice/to lure/to scam/to hoodwink/to decoy
餌誘	饵诱	ěr yòu	to lure/to entice
