誰	谁	shéi	who/also pr. [shuí]
愛誰誰	爱谁谁	ài shéi shéi	(coll.) whatever/who cares
沒誰了	没谁了	méi séi le	(coll.) nobody can beat that/extraordinary/remarkable
人誰無過	人谁无过	rén shéi wú guò	Everyone makes mistakes (idiom)
誰人樂隊	谁人乐队	Shéi rén yuè duì	The Who (1960s UK rock band)
誰怕誰	谁怕谁	shéi pà shéi	bring it on!/who's afraid?/who cares?
誰料	谁料	shéi liào	who would have thought that/who would have expected that
誰知	谁知	shéi zhī	who would have thought/unexpectedly
誰知道	谁知道	shéi zhī dào	God knows.../Who would have imagined...?
誰笑到最後，誰笑得最好	谁笑到最后，谁笑得最好	shéi xiào dào zuì hòu , shéi xiào dé zuì hǎo	He laughs best who laughs last.
誰笑在最後，誰笑得最好	谁笑在最后，谁笑得最好	shéi xiào zài zuì hòu , shéi xiào dé zuì hǎo	He laughs best who laughs last.
阿誰	阿谁	ā shuí	who
鹿死誰手	鹿死谁手	lù sǐ shéi shǒu	to whom the deer falls (idiom); the one to emerge victor (i.e. to seize the empire)/prize winner/champion
